Contabilidad Regional de España - Revisión Estadística 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB a precios de mercado,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precios Corrientes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad: Miles de Euros,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comunidad Autónoma,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023 (P),,,,2024 (A),,
,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual,,Valor,Estructura Porcentual,Tasa de Variación Interanual
Albacete,8285269,0.00683447416264943,0.03657819943517393,,8627212,0.006881345765767203,0.04127120072987367,,8010434,0.007093813927209546,-0.07149215760549299,,8853382,0.007165980020623663,0.10523125213939721,,9526877,0.006924291880804993,0.07607205924244553,,10285196,0.006867047546304117,0.07959785772399486,,,,
Ciudad Real,10906668,0.008996852201973807,0.02025196790584549,,11016000,0.008786721012036276,0.01002432640289408,,10182564,0.009017390857711647,-0.07565686274509809,,10481171,0.008483522113779812,0.029325325134219593,,12249078,0.008902832622143338,0.16867456890074584,,12447343,0.008310633672528527,0.01618611621217525,,,,
Cuenca,4599762,0.0037943191154489572,0.04040862127189304,,4587758,0.003659345462666805,-0.0026097002410124803,,4253677,0.003766936116626255,-0.07282010079869072,,4975017,0.00402680833429113,0.16958034190184157,,5645595,0.00410331188497692,0.13478908715286808,,5859753,0.003912341822226643,0.037933645612198585,,,,
Guadalajara,5379941,0.004437884607135669,0.05364316788147061,,5647861,0.0045049182027741665,0.04979980263724082,,5225237,0.004627322190479396,-0.07482903704606048,,5804558,0.004698243750981405,0.11086980360890797,,6782836,0.004929877465997705,0.16853617450286484,,6878584,0.004592577854544216,0.014116219233370808,,,,
Toledo,13119285,0.01082202815200499,0.044634106120702954,,13514472,0.010779583795295563,0.030122601955822947,,12582448,0.011142660292911707,-0.0689648844586751,,14009858,0.01133966234821615,0.11344453797861909,,15827632,0.011503784897188165,0.12974963771938297,,17074065,0.011399725990995892,0.07875044100090278,,,,
CATALUÑA,231101287,0.1906342177853888,0.035679474574360714,,240165818,0.1915640921744263,0.03922319567177479,,214857435,0.19027167126868777,-0.10537878875002937,,234820402,0.19006502929240113,0.09291261901176462,,258787407,0.18809097053994475,0.10206525836711577,,283274025,0.18913166052527738,0.09462059334285922,,302303884,0.18961186454498127,0.067178270227918
Barcelona,173436258,0.1430666432396583,0.040921465840381366,,180560179,0.14402068979269528,0.04107515396232775,,161885097,0.14336086605373294,-0.10342857491296575,,173917445,0.14076981385282086,0.07432647120074298,,191251096,0.1390044619268052,0.09966597082886075,,209563285,0.13991770716422713,0.09574945912989685,,,,
Girona,21178933,0.017470388756355815,0.02749393054276239,,22059649,0.017595495768558917,0.04158453119427685,,19755932,0.017495294957377432,-0.10443126270957437,,23348038,0.018898040751970498,0.18182417311418164,,26290879,0.019108645991643063,0.12604232526947223,,29157484,0.01946738097733884,0.10903420155712551,,,,
Lleida,12191707,0.010056874012188643,0.03290498206479042,,12766171,0.010182714503354045,0.04711924261303202,,11635303,0.010303895452943374,-0.0885831781510682,,12954308,0.010485293903392544,0.11336232498629384,,13789781,0.010022641062373217,0.0644938347922559,,15081546,0.01006939424914923,0.0936755268267131,,,,
Tarragona,24294389,0.020040311777186053,0.007805367832076193,,24779819,0.01976519210981806,0.01998115696591496,,21581103,0.019111614804634018,-0.129085527218742,,24600611,0.019911880784217233,0.1399144427418746,,27455651,0.019955221559123257,0.1160556540648523,,29471710,0.01967717813456219,0.07342965570184434,,,,
COMUNITAT VALENCIANA,112749574,0.09300652161718949,0.037572334018903586,,116588528,0.09299481379266337,0.03404850114999114,,106067171,0.09393008853946196,-0.09024350148755633,,116386906,0.09420425359012007,0.09729433624660366,,127583394,0.09272972236334577,0.09620058118909003,,139655905,0.09324311756014478,0.09462446970175442,,148283453,0.09300675079814091,0.06177718013427369
Alicante/Alacant,36463569,0.030078603387347434,0.02937755290146815,,37807882,0.030156800216956076,0.03686729074710149,,34503374,0.03055521274089765,-0.08740262149569766,,38470028,0.03113786935216767,0.11496423509190734,,41939432,0.030482273307734856,0.09018459773411136,,46472807,0.03102818607241075,0.10809338094993759,,,,
Castellón/Castelló,15685255,0.01293868310516747,0.011557884741414837,,16135189,0.012869953178964832,0.02868515685591344,,14341241,0.012700197659611022,-0.11118233570118086,,15775645,0.01276890084291535,0.10001951713941626,,17355828,0.01261450304281749,0.10016598370462826,,17661943,0.011792230536113573,0.017637591246006723,,,,
