Contabilidad Regional de España - Revisión Estadística 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB per cápita,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad: Euros,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comunidad Autónoma,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023 (P),,,,2024 (A),,
,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual,,Valor,Índice España = 100,Tasa de Variación Interanual
ARAGÓN,28281,1.0898265895953758,0.033775633293124274,,29043,1.0908169014084508,0.026943884586825062,,27003,1.1321537881011279,-0.07024067761594877,,29144,1.116885107687591,0.07928748657556572,,32717,1.1363225896082245,0.12259813340653314,,34742,1.1215779958677685,0.061894427973224975,,36699,1.1245977997732357,0.05632951470842218
Huesca,28749,1.1078612716763006,0.009906207187269533,,29643,1.1133521126760564,0.03109673379943656,,28385,1.1900968512850614,-0.042438349694700284,,30234,1.158657162566107,0.06514003875286245,,33763,1.1726521255904419,0.11672289475425024,,35871,1.1580255681818181,0.06243521014127884,,,,
Teruel,25241,0.9726782273603083,0.05456444537288485,,25570,0.9603755868544601,0.013034348876827417,,23292,0.9765628275544003,-0.08908877590926867,,26341,1.0094657775733886,0.13090331444272718,,30262,1.051055848846902,0.14885539653012425,,31989,1.0327027376033058,0.05706827043817331,,,,
Zaragoza,28597,1.102003853564547,0.036799361902690064,,29386,1.1036995305164319,0.027590306675525422,,27197,1.1402876189677582,-0.07449125433880077,,29279,1.1220587108147466,0.07655256094422169,,32813,1.139656849124757,0.12070084360804678,,34859,1.1253551136363635,0.06235333556821998,,,,
"ASTURIAS, PRINCIPADO DE",22651,0.8728709055876686,0.03443394072247341,,23220,0.872112676056338,0.02512030373934926,,21069,0.8833591882939918,-0.09263565891472869,,23446,0.8985207327354947,0.11281978261901382,,26544,0.9219227563212004,0.1321334129489038,,28130,0.9081224173553719,0.059749849306811376,,29660,0.9088959029203567,0.05439033060789189
"BALEARS, ILLES",28906,1.1139113680154142,0.03232027427591877,,29458,1.1064037558685447,0.019096381374109184,,22611,0.948010565594734,-0.23243261592776154,,25807,0.9890013029815283,0.14134713192693815,,31030,1.077729924979161,0.2023869492773278,,33995,1.0974625516528926,0.09555269094424745,,36093,1.1060276407317746,0.06171495808207084
CANARIAS,20853,0.8035838150289017,0.027443831296807275,,21159,0.7947042253521127,0.014674147604661236,,17239,0.7227789191228879,-0.1852639538730564,,19021,0.7289415191231701,0.10337026509658331,,22238,0.7723673242567379,0.16912885757846596,,24256,0.7830578512396694,0.09074557064484212,,25861,0.7924800049030123,0.06616919525065956
"Palmas, Las",20595,0.7936416184971098,0.03258962145901223,,20864,0.7836244131455399,0.013061422675406664,,16895,0.7083560437717497,-0.19023197852760731,,18912,0.7247643136353185,0.11938443326427928,,22358,0.7765351486524035,0.1822123519458545,,24395,0.7875451962809917,0.09110832811521608,,,,
Santa Cruz de Tenerife,21134,0.814412331406551,0.02190416324162281,,21478,0.8066854460093896,0.016277089050818594,,17611,0.7383757494444677,-0.1800446968991526,,19138,0.7334253085000383,0.08670717165407993,,22108,0.7678521811614337,0.15518862995088312,,24105,0.7781831095041323,0.09032929256377775,,,,
CANTABRIA,23818,0.9178420038535645,0.03908908472210104,,24515,0.9207511737089202,0.029263582164749335,,22279,0.9340908138023563,-0.09120946359371818,,24303,0.9313635318464015,0.09084788365725571,,26506,0.9206029452625729,0.09064724519606626,,28392,0.9165805785123967,0.07115370104881924,,29893,0.9160359145650109,0.05286700479008166
CASTILLA Y LEÓN,24216,0.9331791907514451,0.049401976079043175,,24849,0.9332957746478874,0.026139742319127857,,22934,0.9615529747180411,-0.07706547547184994,,25020,0.9588411128995171,0.0909566582366792,,27511,0.9555084745762712,0.0995603517186252,,29273,0.9450219524793388,0.06404710842935546,,30887,0.9464958784052953,0.0551361322720596
Ávila,20036,0.7721001926782274,0.042184655396618975,,20760,0.7797183098591549,0.03613495707726089,,19336,0.8106997610163096,-0.06859344894026975,,20409,0.7821338238675558,0.05549234588332652,,21756,0.7556265629341484,0.06600029398794649,,23275,0.7513881714876033,0.06981981981981988,,,,
Burgos,29444,1.1346435452793835,0.04607951113795439,,29798,1.1191737089201879,0.01202282298600732,,26984,1.131357175799757,-0.09443586817907246,,28841,1.105273242891086,0.06881855914616075,,30075,1.0445609891636565,0.04278631115425946,,31527,1.017787964876033,0.048279301745635994,,,,
León,21175,0.8159922928709056,0.03799019607843146,,21919,0.8232488262910798,0.035135773317591434,,20431,0.8566097857532179,-0.06788630868196543,,23214,0.8896297999540124,0.13621457588957964,,26190,0.9096276743539872,0.12819850090462648,,27207,0.8783251549586777,0.038831615120275,,,,
Palencia,27101,1.044354527938343,0.08170352039594486,,27505,1.0330516431924883,0.01490719899634696,,25293,1.0604586809777368,-0.08042174150154513,,27331,1.0474055338391968,0.08057565334282213,,29853,1.0368505140316755,0.0922761699169441,,31962,1.0318310950413223,0.07064616621445086,,,,
Salamanca,20735,0.7990366088631985,0.03519720419370942,,21588,0.8108169014084508,0.04113817217265492,,20029,0.8397551465347365,-0.07221604595145448,,22643,0.8677473748754503,0.1305107593988717,,26471,0.9193873298138372,0.16905887029103916,,29342,0.9472494834710744,0.10845831287068863,,,,
Segovia,22012,0.8482466281310211,0.04011718565420774,,22690,0.852206572769953,0.030801381064873734,,20668,0.8665464760387405,-0.08911414720141031,,23743,0.9099026596152372,0.14878072382426932,,26207,0.9102181161433731,0.10377795560796876,,28261,0.9123514979338843,0.07837600641050102,,,,
Soria,28019,1.0797302504816955,0.13226380021013506,,28421,1.067455399061033,0.014347407116599431,,25821,1.0825961175632048,-0.09148165089194604,,28912,1.1079941749061086,0.11970876418419119,,30468,1.058210614059461,0.05381848367459874,,31463,1.0157218491735538,0.03265721412629641,,,,
