freq,unit,sector,na_item,geo,valor,estado,anyo
A,MIO_EUR,S13,D2REC,FR,456133.0,,2024
A,MIO_EUR,S13,D2REC,IT,256209.0,,2018
A,MIO_EUR,S13,D2REC,IT,261488.0,,2019
A,MIO_EUR,S13,D2REC,IT,231180.0,,2020
A,MIO_EUR,S13,D2REC,IT,262100.0,,2021
A,MIO_EUR,S13,D2REC,IT,279848.0,,2022
A,MIO_EUR,S13,D2REC,IT,291420.0,,2023
A,MIO_EUR,S13,D2REC,IT,309600.0,,2024
A,MIO_EUR,S13,D2REC,PT,30871.2,,2018
A,MIO_EUR,S13,D2REC,PT,32240.8,,2019
A,MIO_EUR,S13,D2REC,PT,29275.6,,2020
A,MIO_EUR,S13,D2REC,PT,32464.6,,2021
A,MIO_EUR,S13,D2REC,PT,36512.3,,2022
A,MIO_EUR,S13,D2REC,PT,38725.1,,2023
A,MIO_EUR,S13,D2REC,PT,41566.6,,2024
A,MIO_EUR,S13,D3PAY,DE,43634.0,,2018
A,MIO_EUR,S13,D3PAY,DE,48518.0,,2019
A,MIO_EUR,S13,D3PAY,DE,93752.0,,2020
A,MIO_EUR,S13,D3PAY,DE,107428.0,,2021
A,MIO_EUR,S13,D3PAY,DE,60135.0,,2022
A,MIO_EUR,S13,D3PAY,DE,82843.0,,2023
A,MIO_EUR,S13,D3PAY,DE,54206.0,,2024
A,MIO_EUR,S13,D3PAY,ES,12026.0,,2018
A,MIO_EUR,S13,D3PAY,ES,12699.0,,2019
A,MIO_EUR,S13,D3PAY,ES,21421.0,,2020
A,MIO_EUR,S13,D3PAY,ES,17604.0,,2021
A,MIO_EUR,S13,D3PAY,ES,26465.0,,2022
A,MIO_EUR,S13,D3PAY,ES,20456.0,,2023
A,MIO_EUR,S13,D3PAY,ES,18354.0,,2024
A,MIO_EUR,S13,D3PAY,EU27_2020,208570.9,,2018
A,MIO_EUR,S13,D3PAY,EU27_2020,202036.2,,2019
A,MIO_EUR,S13,D3PAY,EU27_2020,381008.2,,2020
A,MIO_EUR,S13,D3PAY,EU27_2020,384965.2,,2021
A,MIO_EUR,S13,D3PAY,EU27_2020,327882.2,,2022
A,MIO_EUR,S13,D3PAY,EU27_2020,336844.2,,2023
A,MIO_EUR,S13,D3PAY,EU27_2020,272061.8,,2024
A,MIO_EUR,S13,D3PAY,FR,55760.1,,2018
A,MIO_EUR,S13,D3PAY,FR,40616.0,,2019
A,MIO_EUR,S13,D3PAY,FR,70065.0,,2020
A,MIO_EUR,S13,D3PAY,FR,77268.0,,2021
A,MIO_EUR,S13,D3PAY,FR,74016.0,,2022
A,MIO_EUR,S13,D3PAY,FR,70504.0,,2023
A,MIO_EUR,S13,D3PAY,FR,57467.0,,2024
A,MIO_EUR,S13,D3PAY,IT,30045.0,,2018
A,MIO_EUR,S13,D3PAY,IT,29860.0,,2019
A,MIO_EUR,S13,D3PAY,IT,34271.0,,2020
A,MIO_EUR,S13,D3PAY,IT,36975.0,,2021
A,MIO_EUR,S13,D3PAY,IT,45939.0,,2022
A,MIO_EUR,S13,D3PAY,IT,38748.0,,2023
A,MIO_EUR,S13,D3PAY,IT,36517.0,,2024
A,MIO_EUR,S13,D3PAY,PT,781.5,,2018
A,MIO_EUR,S13,D3PAY,PT,949.9,,2019
A,MIO_EUR,S13,D3PAY,PT,3672.9,,2020
A,MIO_EUR,S13,D3PAY,PT,4255.8,,2021
A,MIO_EUR,S13,D3PAY,PT,2745.9,,2022
A,MIO_EUR,S13,D3PAY,PT,2017.2,,2023
A,MIO_EUR,S13,D3PAY,PT,1885.7,,2024
A,MIO_EUR,S13,D5REC,DE,444666.0,,2018
A,MIO_EUR,S13,D5REC,DE,457902.0,,2019
A,MIO_EUR,S13,D5REC,DE,428973.0,,2020
A,MIO_EUR,S13,D5REC,DE,486071.0,,2021
A,MIO_EUR,S13,D5REC,DE,531065.0,,2022
A,MIO_EUR,S13,D5REC,DE,533331.0,,2023
A,MIO_EUR,S13,D5REC,DE,552833.0,,2024
A,MIO_EUR,S13,D5REC,ES,127284.0,,2018
A,MIO_EUR,S13,D5REC,ES,129117.0,,2019
A,MIO_EUR,S13,D5REC,ES,125348.0,,2020
A,MIO_EUR,S13,D5REC,ES,143485.0,,2021
A,MIO_EUR,S13,D5REC,ES,164770.0,,2022
A,MIO_EUR,S13,D5REC,ES,183119.0,,2023
A,MIO_EUR,S13,D5REC,ES,198711.0,,2024
A,MIO_EUR,S13,D5REC,EU27_2020,1752575.1,,2018
A,MIO_EUR,S13,D5REC,EU27_2020,1814885.2,,2019
A,MIO_EUR,S13,D5REC,EU27_2020,1747277.8,,2020
A,MIO_EUR,S13,D5REC,EU27_2020,1939735.4,,2021
A,MIO_EUR,S13,D5REC,EU27_2020,2138439.1,,2022
