freq,unit,sector,na_item,geo,valor,estado,anyo
A,PC_GDP,S13,D61REC,FR,16.7,,2021
A,PC_GDP,S13,D61REC,FR,16.7,,2022
A,PC_GDP,S13,D61REC,FR,16.3,,2023
A,PC_GDP,S13,D61REC,FR,16.5,,2024
A,PC_GDP,S13,D61REC,IT,13.2,,2018
A,PC_GDP,S13,D61REC,IT,13.4,,2019
A,PC_GDP,S13,D61REC,IT,13.8,,2020
A,PC_GDP,S13,D61REC,IT,13.4,,2021
A,PC_GDP,S13,D61REC,IT,13.0,,2022
A,PC_GDP,S13,D61REC,IT,12.5,,2023
A,PC_GDP,S13,D61REC,IT,12.6,,2024
A,PC_GDP,S13,D61REC,PT,11.6,,2018
A,PC_GDP,S13,D61REC,PT,11.8,,2019
A,PC_GDP,S13,D61REC,PT,12.7,,2020
A,PC_GDP,S13,D61REC,PT,12.6,,2021
A,PC_GDP,S13,D61REC,PT,12.2,,2022
A,PC_GDP,S13,D61REC,PT,12.1,,2023
A,PC_GDP,S13,D61REC,PT,12.4,,2024
A,PC_GDP,S13,D62PAY,DE,15.2,,2018
A,PC_GDP,S13,D62PAY,DE,15.5,,2019
A,PC_GDP,S13,D62PAY,DE,17.3,,2020
A,PC_GDP,S13,D62PAY,DE,16.6,,2021
A,PC_GDP,S13,D62PAY,DE,15.5,,2022
A,PC_GDP,S13,D62PAY,DE,15.7,,2023
A,PC_GDP,S13,D62PAY,DE,16.4,,2024
A,PC_GDP,S13,D62PAY,ES,15.3,,2018
A,PC_GDP,S13,D62PAY,ES,15.7,,2019
A,PC_GDP,S13,D62PAY,ES,20.2,,2020
A,PC_GDP,S13,D62PAY,ES,18.4,,2021
A,PC_GDP,S13,D62PAY,ES,16.6,,2022
A,PC_GDP,S13,D62PAY,ES,16.8,,2023
A,PC_GDP,S13,D62PAY,ES,16.9,,2024
A,PC_GDP,S13,D62PAY,EU27_2020,16.0,,2018
A,PC_GDP,S13,D62PAY,EU27_2020,16.1,,2019
A,PC_GDP,S13,D62PAY,EU27_2020,18.3,,2020
A,PC_GDP,S13,D62PAY,EU27_2020,17.0,,2021
A,PC_GDP,S13,D62PAY,EU27_2020,15.9,,2022
A,PC_GDP,S13,D62PAY,EU27_2020,15.9,,2023
A,PC_GDP,S13,D62PAY,EU27_2020,16.4,,2024
A,PC_GDP,S13,D62PAY,FR,19.4,,2018
A,PC_GDP,S13,D62PAY,FR,19.3,,2019
A,PC_GDP,S13,D62PAY,FR,22.3,,2020
A,PC_GDP,S13,D62PAY,FR,20.2,,2021
A,PC_GDP,S13,D62PAY,FR,19.2,,2022
A,PC_GDP,S13,D62PAY,FR,18.7,,2023
A,PC_GDP,S13,D62PAY,FR,19.2,,2024
A,PC_GDP,S13,D62PAY,IT,19.6,,2018
A,PC_GDP,S13,D62PAY,IT,20.0,,2019
A,PC_GDP,S13,D62PAY,IT,23.9,,2020
A,PC_GDP,S13,D62PAY,IT,21.6,,2021
A,PC_GDP,S13,D62PAY,IT,20.4,,2022
A,PC_GDP,S13,D62PAY,IT,19.8,,2023
A,PC_GDP,S13,D62PAY,IT,20.2,,2024
A,PC_GDP,S13,D62PAY,PT,16.4,,2018
A,PC_GDP,S13,D62PAY,PT,16.2,,2019
A,PC_GDP,S13,D62PAY,PT,18.1,,2020
A,PC_GDP,S13,D62PAY,PT,17.4,,2021
A,PC_GDP,S13,D62PAY,PT,16.5,,2022
A,PC_GDP,S13,D62PAY,PT,15.6,,2023
A,PC_GDP,S13,D62PAY,PT,16.0,,2024
A,PC_GDP,S13,TE,DE,44.7,,2018
A,PC_GDP,S13,TE,DE,45.5,,2019
A,PC_GDP,S13,TE,DE,51.1,,2020
A,PC_GDP,S13,TE,DE,50.7,,2021
A,PC_GDP,S13,TE,DE,48.6,,2022
A,PC_GDP,S13,TE,DE,48.1,,2023
A,PC_GDP,S13,TE,DE,49.4,,2024
A,PC_GDP,S13,TE,ES,41.5,,2018
A,PC_GDP,S13,TE,ES,42.0,,2019
A,PC_GDP,S13,TE,ES,51.4,,2020
A,PC_GDP,S13,TE,ES,49.5,,2021
A,PC_GDP,S13,TE,ES,46.3,,2022
A,PC_GDP,S13,TE,ES,45.4,,2023
A,PC_GDP,S13,TE,ES,45.5,,2024
A,PC_GDP,S13,TE,EU27_2020,46.7,,2018
A,PC_GDP,S13,TE,EU27_2020,46.6,,2019
A,PC_GDP,S13,TE,EU27_2020,52.9,,2020
A,PC_GDP,S13,TE,EU27_2020,51.2,,2021
A,PC_GDP,S13,TE,EU27_2020,49.2,,2022
A,PC_GDP,S13,TE,EU27_2020,48.9,,2023
A,PC_GDP,S13,TE,EU27_2020,49.1,,2024
A,PC_GDP,S13,TE,FR,56.4,,2018
A,PC_GDP,S13,TE,FR,55.3,,2019
A,PC_GDP,S13,TE,FR,61.7,,2020
A,PC_GDP,S13,TE,FR,59.5,,2021
A,PC_GDP,S13,TE,FR,58.4,,2022
A,PC_GDP,S13,TE,FR,56.8,,2023
A,PC_GDP,S13,TE,FR,57.0,,2024
A,PC_GDP,S13,TE,IT,48.3,,2018
A,PC_GDP,S13,TE,IT,48.4,,2019
A,PC_GDP,S13,TE,IT,56.8,,2020
A,PC_GDP,S13,TE,IT,56.0,,2021
A,PC_GDP,S13,TE,IT,54.9,,2022
A,PC_GDP,S13,TE,IT,53.6,,2023
A,PC_GDP,S13,TE,IT,50.4,,2024
A,PC_GDP,S13,TE,PT,43.3,,2018
A,PC_GDP,S13,TE,PT,42.5,,2019
A,PC_GDP,S13,TE,PT,49.1,,2020
A,PC_GDP,S13,TE,PT,47.3,,2021
A,PC_GDP,S13,TE,PT,43.9,,2022
A,PC_GDP,S13,TE,PT,42.0,,2023
A,PC_GDP,S13,TE,PT,42.4,,2024
A,PC_GDP,S13,TR,DE,46.5,,2018
A,PC_GDP,S13,TR,DE,46.9,,2019
A,PC_GDP,S13,TR,DE,46.7,,2020
A,PC_GDP,S13,TR,DE,47.5,,2021
A,PC_GDP,S13,TR,DE,46.7,,2022
A,PC_GDP,S13,TR,DE,45.7,,2023
A,PC_GDP,S13,TR,DE,46.8,,2024
A,PC_GDP,S13,TR,ES,39.0,,2018
A,PC_GDP,S13,TR,ES,39.0,,2019
A,PC_GDP,S13,TR,ES,41.5,,2020
A,PC_GDP,S13,TR,ES,42.8,,2021
A,PC_GDP,S13,TR,ES,41.7,,2022
A,PC_GDP,S13,TR,ES,42.1,,2023
A,PC_GDP,S13,TR,ES,42.3,,2024
A,PC_GDP,S13,TR,EU27_2020,46.3,,2018
A,PC_GDP,S13,TR,EU27_2020,46.2,,2019
A,PC_GDP,S13,TR,EU27_2020,46.2,,2020
A,PC_GDP,S13,TR,EU27_2020,46.5,,2021
A,PC_GDP,S13,TR,EU27_2020,46.0,,2022
A,PC_GDP,S13,TR,EU27_2020,45.5,,2023
A,PC_GDP,S13,TR,EU27_2020,46.0,,2024
A,PC_GDP,S13,TR,FR,54.0,,2018
A,PC_GDP,S13,TR,FR,53.0,,2019
A,PC_GDP,S13,TR,FR,52.8,,2020
A,PC_GDP,S13,TR,FR,52.9,,2021
A,PC_GDP,S13,TR,FR,53.7,,2022
A,PC_GDP,S13,TR,FR,51.4,,2023
A,PC_GDP,S13,TR,FR,51.2,,2024
A,PC_GDP,S13,TR,IT,46.1,,2018
A,PC_GDP,S13,TR,IT,47.0,,2019
A,PC_GDP,S13,TR,IT,47.4,,2020
A,PC_GDP,S13,TR,IT,47.2,,2021
A,PC_GDP,S13,TR,IT,46.8,,2022
A,PC_GDP,S13,TR,IT,46.5,,2023
A,PC_GDP,S13,TR,IT,47.0,,2024
A,PC_GDP,S13,TR,PT,42.9,,2018
A,PC_GDP,S13,TR,PT,42.6,,2019
A,PC_GDP,S13,TR,PT,43.4,,2020
A,PC_GDP,S13,TR,PT,44.5,,2021
A,PC_GDP,S13,TR,PT,43.6,,2022
A,PC_GDP,S13,TR,PT,43.2,,2023
A,PC_GDP,S13,TR,PT,43.0,,2024
