Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;7. FALSEDADES;2018;22.399
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2024;701
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2023;506
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2022;509
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2021;541
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2020;350
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2019;416
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2018;510
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2024;43.933
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2023;41.910
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2022;37.910
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2021;33.370
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2020;31.140
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2019;32.082
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2018;30.290
TOTAL NACIONAL;10. ORDEN PÚBLICO;2024;31.062
TOTAL NACIONAL;10. ORDEN PÚBLICO;2023;30.011
TOTAL NACIONAL;10. ORDEN PÚBLICO;2022;28.562
TOTAL NACIONAL;10. ORDEN PÚBLICO;2021;27.594
TOTAL NACIONAL;10. ORDEN PÚBLICO;2020;30.272
TOTAL NACIONAL;10. ORDEN PÚBLICO;2019;21.877
TOTAL NACIONAL;10. ORDEN PÚBLICO;2018;20.121
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2024;436
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2023;464
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2022;330
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2021;343
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2020;325
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2019;306
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2018;209
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2024;11.678
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2023;11.718
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2022;10.646
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2021;10.341
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2020;9.665
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2019;9.970
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2018;9.725
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2024;2.454.206
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2023;2.464.759
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2022;2.323.075
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2021;1.957.719
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2020;1.766.779
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2019;2.199.475
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2018;2.131.118
ANDALUCÍA;1. CONTRA LAS PERSONAS;2024;47.011
ANDALUCÍA;1. CONTRA LAS PERSONAS;2023;45.636
ANDALUCÍA;1. CONTRA LAS PERSONAS;2022;42.594
ANDALUCÍA;1. CONTRA LAS PERSONAS;2021;37.296
ANDALUCÍA;1. CONTRA LAS PERSONAS;2020;33.578
ANDALUCÍA;1. CONTRA LAS PERSONAS;2019;37.130
ANDALUCÍA;1. CONTRA LAS PERSONAS;2018;35.043
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2024;350
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2023;363
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2022;358
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2021;274
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2020;298
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2019;238
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2018;262
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2024;82
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;71
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;74
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;55
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;61
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;82
