Comunidades autónomas;Tipología penal;Sexo;Nacionalidad;periodo;Total
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Femenino;Extranjera;2022;0
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Femenino;Extranjera;2021;0
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Femenino;Extranjera;2020;0
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Femenino;Extranjera;2019;0
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Femenino;Extranjera;2018;0
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Femenino;Total;2024;0
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Femenino;Total;2023;1
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Femenino;Total;2022;0
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Femenino;Total;2021;1
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Femenino;Total;2020;0
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Femenino;Total;2019;0
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Femenino;Total;2018;0
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Española;2024;10
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Española;2023;7
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Española;2022;9
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Española;2021;10
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Española;2020;6
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Española;2019;5
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Española;2018;5
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Extranjera;2024;1
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Extranjera;2023;4
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Extranjera;2022;0
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Extranjera;2021;1
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Extranjera;2020;1
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Extranjera;2019;1
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Extranjera;2018;0
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Total;2024;11
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Total;2023;11
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Total;2022;9
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Total;2021;11
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Total;2020;7
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Total;2019;6
ASTURIAS (PRINCIPADO DE);3.1.-Agresión sexual;Ambos sexos;Total;2018;5
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Española;2024;3
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Española;2023;8
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Española;2022;2
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Española;2021;4
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Española;2020;2
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Española;2019;2
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Española;2018;1
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Extranjera;2024;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Extranjera;2023;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Extranjera;2022;2
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Extranjera;2021;1
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Extranjera;2020;1
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Extranjera;2019;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Extranjera;2018;1
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Total;2024;3
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Total;2023;8
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Total;2022;4
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Total;2021;5
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Total;2020;3
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Total;2019;2
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Masculino;Total;2018;2
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Española;2024;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Española;2023;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Española;2022;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Española;2021;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Española;2020;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Española;2019;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Española;2018;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Extranjera;2024;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Extranjera;2023;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Extranjera;2022;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Extranjera;2021;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Extranjera;2020;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Extranjera;2019;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Extranjera;2018;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Total;2024;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Total;2023;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Total;2022;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Total;2021;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Total;2020;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Total;2019;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Femenino;Total;2018;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Española;2024;3
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Española;2023;8
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Española;2022;2
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Española;2021;4
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Española;2020;2
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Española;2019;2
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Española;2018;1
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Extranjera;2024;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Extranjera;2023;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Extranjera;2022;2
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Extranjera;2021;1
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Extranjera;2020;1
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Extranjera;2019;0
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Extranjera;2018;1
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Total;2024;3
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Total;2023;8
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Total;2022;4
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Total;2021;5
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Total;2020;3
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Total;2019;2
ASTURIAS (PRINCIPADO DE);3.2.-Agresión sexual con penetración;Ambos sexos;Total;2018;2
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Española;2024;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Española;2023;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Española;2022;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Española;2021;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Española;2020;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Española;2019;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Española;2018;1
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Extranjera;2024;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Extranjera;2023;1
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Extranjera;2022;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Extranjera;2021;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Extranjera;2020;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Extranjera;2019;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Extranjera;2018;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Total;2024;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Total;2023;1
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Total;2022;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Total;2021;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Total;2020;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Total;2019;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Masculino;Total;2018;1
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Española;2024;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Española;2023;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Española;2022;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Española;2021;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Española;2020;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Española;2019;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Española;2018;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Extranjera;2024;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Extranjera;2023;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Extranjera;2022;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Extranjera;2021;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Extranjera;2020;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Extranjera;2019;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Extranjera;2018;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Total;2024;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Total;2023;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Total;2022;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Total;2021;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Total;2020;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Total;2019;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Femenino;Total;2018;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Española;2024;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Española;2023;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Española;2022;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Española;2021;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Española;2020;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Española;2019;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Española;2018;1
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Extranjera;2024;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Extranjera;2023;1
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Extranjera;2022;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Extranjera;2021;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Extranjera;2020;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Extranjera;2019;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Extranjera;2018;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Total;2024;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Total;2023;1
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Total;2022;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Total;2021;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Total;2020;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Total;2019;0
ASTURIAS (PRINCIPADO DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;Total;2018;1
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Española;2024;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Española;2023;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Española;2022;1
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Española;2021;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Española;2020;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Española;2019;4
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Española;2018;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Extranjera;2024;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Extranjera;2023;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Extranjera;2022;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Extranjera;2021;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Extranjera;2020;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Extranjera;2019;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Extranjera;2018;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Total;2024;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Total;2023;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Total;2022;1
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Total;2021;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Total;2020;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Total;2019;4
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Masculino;Total;2018;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Española;2024;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Española;2023;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Española;2022;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Española;2021;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Española;2020;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Española;2019;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Española;2018;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Extranjera;2024;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Extranjera;2023;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Extranjera;2022;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Extranjera;2021;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Extranjera;2020;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Extranjera;2019;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Extranjera;2018;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Total;2024;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Total;2023;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Total;2022;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Total;2021;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Total;2020;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Total;2019;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Femenino;Total;2018;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Española;2024;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Española;2023;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Española;2022;1
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Española;2021;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Española;2020;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Española;2019;4
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Española;2018;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Extranjera;2024;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Extranjera;2023;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Extranjera;2022;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Extranjera;2021;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Extranjera;2020;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Extranjera;2019;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Extranjera;2018;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Total;2024;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Total;2023;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Total;2022;1
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Total;2021;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Total;2020;0
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Total;2019;4
ASTURIAS (PRINCIPADO DE);3.4.-Pornografía de menores;Ambos sexos;Total;2018;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Española;2024;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Española;2023;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Española;2022;1
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Española;2021;1
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Española;2020;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Española;2019;1
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Española;2018;1
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Extranjera;2024;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Extranjera;2023;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Extranjera;2022;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Extranjera;2021;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Extranjera;2020;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Extranjera;2019;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Extranjera;2018;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Total;2024;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Total;2023;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Total;2022;1
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Total;2021;1
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Total;2020;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Total;2019;1
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Masculino;Total;2018;1
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Española;2024;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Española;2023;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Española;2022;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Española;2021;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Española;2020;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Española;2019;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Española;2018;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Extranjera;2024;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Extranjera;2023;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Extranjera;2022;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Extranjera;2021;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Extranjera;2020;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Extranjera;2019;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Extranjera;2018;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Total;2024;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Total;2023;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Total;2022;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Total;2021;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Total;2020;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Total;2019;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Femenino;Total;2018;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Ambos sexos;Española;2024;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Ambos sexos;Española;2023;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Ambos sexos;Española;2022;1
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Ambos sexos;Española;2021;1
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Ambos sexos;Española;2020;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Ambos sexos;Española;2019;1
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Ambos sexos;Española;2018;1
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Ambos sexos;Extranjera;2024;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Ambos sexos;Extranjera;2023;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Ambos sexos;Extranjera;2022;0
ASTURIAS (PRINCIPADO DE);3.5.-Otros contra la libertad sexual;Ambos sexos;Extranjera;2021;0
