Comunidades autónomas;Tipología penal;Sexo;periodo;Total
MADRID (COMUNIDAD DE);1.4.-Otros contra las personas;Ambos sexos;2024;648
MADRID (COMUNIDAD DE);1.4.-Otros contra las personas;Ambos sexos;2023;607
MADRID (COMUNIDAD DE);1.4.-Otros contra las personas;Ambos sexos;2022;396
MADRID (COMUNIDAD DE);1.4.-Otros contra las personas;Ambos sexos;2021;286
MADRID (COMUNIDAD DE);1.4.-Otros contra las personas;Ambos sexos;2020;225
MADRID (COMUNIDAD DE);1.4.-Otros contra las personas;Ambos sexos;2019;231
MADRID (COMUNIDAD DE);1.4.-Otros contra las personas;Ambos sexos;2018;190
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Masculino;2024;2.628
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Masculino;2023;2.396
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Masculino;2022;2.027
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Masculino;2021;1.682
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Masculino;2020;1.458
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Masculino;2019;1.287
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Masculino;2018;996
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Femenino;2024;423
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Femenino;2023;372
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Femenino;2022;315
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Femenino;2021;241
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Femenino;2020;246
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Femenino;2019;197
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Femenino;2018;200
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Ambos sexos;2024;3.051
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Ambos sexos;2023;2.768
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Ambos sexos;2022;2.342
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Ambos sexos;2021;1.923
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Ambos sexos;2020;1.704
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Ambos sexos;2019;1.484
MADRID (COMUNIDAD DE);2. CONTRA LA LIBERTAD;Ambos sexos;2018;1.196
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2024;287
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2023;305
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2022;255
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2021;285
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2020;269
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2019;265
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Masculino;2018;223
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2024;34
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2023;31
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2022;40
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2021;26
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2020;22
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2019;26
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Femenino;2018;31
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2024;321
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2023;336
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2022;295
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2021;311
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2020;291
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2019;291
MADRID (COMUNIDAD DE);2.1.-Malos tratos habituales en el ámbito familiar;Ambos sexos;2018;254
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Masculino;2024;2.341
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Masculino;2023;2.091
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Masculino;2022;1.772
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Masculino;2021;1.397
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Masculino;2020;1.189
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Masculino;2019;1.022
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Masculino;2018;773
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Femenino;2024;389
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Femenino;2023;341
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Femenino;2022;275
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Femenino;2021;215
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Femenino;2020;224
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Femenino;2019;171
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Femenino;2018;169
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Ambos sexos;2024;2.730
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Ambos sexos;2023;2.432
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Ambos sexos;2022;2.047
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Ambos sexos;2021;1.612
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Ambos sexos;2020;1.413
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Ambos sexos;2019;1.193
MADRID (COMUNIDAD DE);2.2.-Otros contra la libertad;Ambos sexos;2018;942
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Masculino;2024;897
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Masculino;2023;838
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Masculino;2022;681
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Masculino;2021;557
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Masculino;2020;475
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Masculino;2019;453
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Masculino;2018;418
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Femenino;2024;50
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Femenino;2023;44
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Femenino;2022;16
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Femenino;2021;14
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Femenino;2020;8
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Femenino;2019;3
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Femenino;2018;10
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Ambos sexos;2024;947
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Ambos sexos;2023;882
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Ambos sexos;2022;697
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Ambos sexos;2021;571
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Ambos sexos;2020;483
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Ambos sexos;2019;456
MADRID (COMUNIDAD DE);3. LIBERTAD SEXUAL;Ambos sexos;2018;428
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Masculino;2024;535
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Masculino;2023;484
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Masculino;2022;408
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Masculino;2021;340
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Masculino;2020;284
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Masculino;2019;273
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Masculino;2018;242
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Femenino;2024;7
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Femenino;2023;12
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Femenino;2022;2
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Femenino;2021;3
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Femenino;2020;1
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Femenino;2019;0
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Femenino;2018;2
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Ambos sexos;2024;542
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Ambos sexos;2023;496
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Ambos sexos;2022;410
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Ambos sexos;2021;343
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Ambos sexos;2020;285
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Ambos sexos;2019;273
MADRID (COMUNIDAD DE);3.1.-Agresión sexual;Ambos sexos;2018;244
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Masculino;2024;242
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Masculino;2023;237
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Masculino;2022;173
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Masculino;2021;168
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Masculino;2020;142
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Masculino;2019;126
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Masculino;2018;113
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Femenino;2024;1
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Femenino;2023;5
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Femenino;2022;0
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Femenino;2021;1
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Femenino;2020;1
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Femenino;2019;2
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Femenino;2018;0
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Ambos sexos;2024;243
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Ambos sexos;2023;242
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Ambos sexos;2022;173
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Ambos sexos;2021;169
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Ambos sexos;2020;143
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Ambos sexos;2019;128
MADRID (COMUNIDAD DE);3.2.-Agresión sexual con penetración;Ambos sexos;2018;113
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Masculino;2024;3
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Masculino;2023;2
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Masculino;2022;8
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Masculino;2021;4
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Masculino;2020;4
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Masculino;2019;4
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Masculino;2018;5
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Femenino;2024;4
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Femenino;2023;1
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Femenino;2022;3
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Femenino;2021;2
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Femenino;2020;0
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Femenino;2019;1
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Femenino;2018;0
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;2024;7
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;2023;3
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;2022;11
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;2021;6
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;2020;4
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;2019;5
MADRID (COMUNIDAD DE);3.3.-Corrupción de menores o incapacitados;Ambos sexos;2018;5
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Masculino;2024;28
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Masculino;2023;19
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Masculino;2022;14
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Masculino;2021;10
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Masculino;2020;5
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Masculino;2019;11
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Masculino;2018;12
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Femenino;2024;0
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Femenino;2023;1
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Femenino;2022;0
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Femenino;2021;1
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Femenino;2020;0
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Femenino;2019;0
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Femenino;2018;2
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Ambos sexos;2024;28
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Ambos sexos;2023;20
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Ambos sexos;2022;14
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Ambos sexos;2021;11
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Ambos sexos;2020;5
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Ambos sexos;2019;11
MADRID (COMUNIDAD DE);3.4.-Pornografía de menores;Ambos sexos;2018;14
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Masculino;2024;89
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Masculino;2023;96
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Masculino;2022;78
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Masculino;2021;35
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Masculino;2020;40
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Masculino;2019;39
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Masculino;2018;46
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Femenino;2024;38
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Femenino;2023;25
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Femenino;2022;11
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Femenino;2021;7
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Femenino;2020;6
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Femenino;2019;0
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Femenino;2018;6
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Ambos sexos;2024;127
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Ambos sexos;2023;121
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Ambos sexos;2022;89
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Ambos sexos;2021;42
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Ambos sexos;2020;46
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Ambos sexos;2019;39
MADRID (COMUNIDAD DE);3.5.-Otros contra la libertad sexual;Ambos sexos;2018;52
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Masculino;2024;46
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Masculino;2023;38
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Masculino;2022;43
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Masculino;2021;39
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Masculino;2020;30
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Masculino;2019;31
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Masculino;2018;39
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Femenino;2024;50
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Femenino;2023;42
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Femenino;2022;47
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Femenino;2021;39
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Femenino;2020;24
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Femenino;2019;31
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Femenino;2018;37
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Ambos sexos;2024;96
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Ambos sexos;2023;80
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Ambos sexos;2022;90
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Ambos sexos;2021;78
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Ambos sexos;2020;54
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Ambos sexos;2019;62
MADRID (COMUNIDAD DE);4. RELACIONES FAMILIARES;Ambos sexos;2018;76
MADRID (COMUNIDAD DE);5. PATRIMONIO;Masculino;2024;15.638
MADRID (COMUNIDAD DE);5. PATRIMONIO;Masculino;2023;14.492
MADRID (COMUNIDAD DE);5. PATRIMONIO;Masculino;2022;12.009
MADRID (COMUNIDAD DE);5. PATRIMONIO;Masculino;2021;9.378
MADRID (COMUNIDAD DE);5. PATRIMONIO;Masculino;2020;9.128
MADRID (COMUNIDAD DE);5. PATRIMONIO;Masculino;2019;11.132
MADRID (COMUNIDAD DE);5. PATRIMONIO;Masculino;2018;9.299
MADRID (COMUNIDAD DE);5. PATRIMONIO;Femenino;2024;3.352
MADRID (COMUNIDAD DE);5. PATRIMONIO;Femenino;2023;3.765
MADRID (COMUNIDAD DE);5. PATRIMONIO;Femenino;2022;2.991
MADRID (COMUNIDAD DE);5. PATRIMONIO;Femenino;2021;2.385
MADRID (COMUNIDAD DE);5. PATRIMONIO;Femenino;2020;2.190
MADRID (COMUNIDAD DE);5. PATRIMONIO;Femenino;2019;3.392
MADRID (COMUNIDAD DE);5. PATRIMONIO;Femenino;2018;3.469
MADRID (COMUNIDAD DE);5. PATRIMONIO;Ambos sexos;2024;18.990
MADRID (COMUNIDAD DE);5. PATRIMONIO;Ambos sexos;2023;18.257
MADRID (COMUNIDAD DE);5. PATRIMONIO;Ambos sexos;2022;15.000
MADRID (COMUNIDAD DE);5. PATRIMONIO;Ambos sexos;2021;11.763
MADRID (COMUNIDAD DE);5. PATRIMONIO;Ambos sexos;2020;11.318
MADRID (COMUNIDAD DE);5. PATRIMONIO;Ambos sexos;2019;14.524
MADRID (COMUNIDAD DE);5. PATRIMONIO;Ambos sexos;2018;12.768
MADRID (COMUNIDAD DE);5.1.-Hurtos;Masculino;2024;8.237
MADRID (COMUNIDAD DE);5.1.-Hurtos;Masculino;2023;7.642
MADRID (COMUNIDAD DE);5.1.-Hurtos;Masculino;2022;6.206
MADRID (COMUNIDAD DE);5.1.-Hurtos;Masculino;2021;4.699
MADRID (COMUNIDAD DE);5.1.-Hurtos;Masculino;2020;4.417
MADRID (COMUNIDAD DE);5.1.-Hurtos;Masculino;2019;6.404
MADRID (COMUNIDAD DE);5.1.-Hurtos;Masculino;2018;5.559
MADRID (COMUNIDAD DE);5.1.-Hurtos;Femenino;2024;2.520
MADRID (COMUNIDAD DE);5.1.-Hurtos;Femenino;2023;2.973
MADRID (COMUNIDAD DE);5.1.-Hurtos;Femenino;2022;2.376
MADRID (COMUNIDAD DE);5.1.-Hurtos;Femenino;2021;1.868
MADRID (COMUNIDAD DE);5.1.-Hurtos;Femenino;2020;1.641
MADRID (COMUNIDAD DE);5.1.-Hurtos;Femenino;2019;2.815
MADRID (COMUNIDAD DE);5.1.-Hurtos;Femenino;2018;3.006
MADRID (COMUNIDAD DE);5.1.-Hurtos;Ambos sexos;2024;10.757
MADRID (COMUNIDAD DE);5.1.-Hurtos;Ambos sexos;2023;10.615
MADRID (COMUNIDAD DE);5.1.-Hurtos;Ambos sexos;2022;8.582
MADRID (COMUNIDAD DE);5.1.-Hurtos;Ambos sexos;2021;6.567
MADRID (COMUNIDAD DE);5.1.-Hurtos;Ambos sexos;2020;6.058
MADRID (COMUNIDAD DE);5.1.-Hurtos;Ambos sexos;2019;9.219
MADRID (COMUNIDAD DE);5.1.-Hurtos;Ambos sexos;2018;8.565
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Masculino;2024;1.702
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Masculino;2023;1.574
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Masculino;2022;1.377
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Masculino;2021;1.151
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Masculino;2020;1.385
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Masculino;2019;1.164
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Masculino;2018;1.071
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Femenino;2024;89
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Femenino;2023;72
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Femenino;2022;79
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Femenino;2021;63
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Femenino;2020;47
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Femenino;2019;83
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Femenino;2018;69
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Ambos sexos;2024;1.791
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Ambos sexos;2023;1.646
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Ambos sexos;2022;1.456
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Ambos sexos;2021;1.214
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Ambos sexos;2020;1.432
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Ambos sexos;2019;1.247
MADRID (COMUNIDAD DE);5.2.-Robos con fuerza en las cosas;Ambos sexos;2018;1.140
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2024;547
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2023;474
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2022;392
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2021;248
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2020;271
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2019;306
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2018;246
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2024;20
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2023;13
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2022;10
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2021;10
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2020;10
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2019;16
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2018;8
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2024;567
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2023;487
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2022;402
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2021;258
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2020;281
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2019;322
MADRID (COMUNIDAD DE);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2018;254
MADRID (COMUNIDAD DE);5.2.2.-Robos con fuerza en viviendas;Masculino;2024;457
MADRID (COMUNIDAD DE);5.2.2.-Robos con fuerza en viviendas;Masculino;2023;453
MADRID (COMUNIDAD DE);5.2.2.-Robos con fuerza en viviendas;Masculino;2022;457
MADRID (COMUNIDAD DE);5.2.2.-Robos con fuerza en viviendas;Masculino;2021;364
MADRID (COMUNIDAD DE);5.2.2.-Robos con fuerza en viviendas;Masculino;2020;463
MADRID (COMUNIDAD DE);5.2.2.-Robos con fuerza en viviendas;Masculino;2019;366
MADRID (COMUNIDAD DE);5.2.2.-Robos con fuerza en viviendas;Masculino;2018;421
MADRID (COMUNIDAD DE);5.2.2.-Robos con fuerza en viviendas;Femenino;2024;50
MADRID (COMUNIDAD DE);5.2.2.-Robos con fuerza en viviendas;Femenino;2023;48
MADRID (COMUNIDAD DE);5.2.2.-Robos con fuerza en viviendas;Femenino;2022;61
