Comunidades autónomas;Tipología penal;Sexo;periodo;Total
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Masculino;2020;2.517
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Masculino;2019;2.373
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Masculino;2018;2.109
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Femenino;2024;360
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Femenino;2023;354
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Femenino;2022;220
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Femenino;2021;135
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Femenino;2020;105
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Femenino;2019;104
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Femenino;2018;121
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Ambos sexos;2024;5.641
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Ambos sexos;2023;5.136
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Ambos sexos;2022;4.183
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Ambos sexos;2021;3.605
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Ambos sexos;2020;2.622
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Ambos sexos;2019;2.477
TOTAL NACIONAL;3. LIBERTAD SEXUAL;Ambos sexos;2018;2.230
TOTAL NACIONAL;3.1.-Agresión sexual;Masculino;2024;3.450
TOTAL NACIONAL;3.1.-Agresión sexual;Masculino;2023;2.964
TOTAL NACIONAL;3.1.-Agresión sexual;Masculino;2022;2.517
TOTAL NACIONAL;3.1.-Agresión sexual;Masculino;2021;2.163
TOTAL NACIONAL;3.1.-Agresión sexual;Masculino;2020;1.495
TOTAL NACIONAL;3.1.-Agresión sexual;Masculino;2019;1.490
TOTAL NACIONAL;3.1.-Agresión sexual;Masculino;2018;1.304
TOTAL NACIONAL;3.1.-Agresión sexual;Femenino;2024;141
TOTAL NACIONAL;3.1.-Agresión sexual;Femenino;2023;161
TOTAL NACIONAL;3.1.-Agresión sexual;Femenino;2022;101
TOTAL NACIONAL;3.1.-Agresión sexual;Femenino;2021;25
TOTAL NACIONAL;3.1.-Agresión sexual;Femenino;2020;25
TOTAL NACIONAL;3.1.-Agresión sexual;Femenino;2019;19
TOTAL NACIONAL;3.1.-Agresión sexual;Femenino;2018;16
TOTAL NACIONAL;3.1.-Agresión sexual;Ambos sexos;2024;3.591
TOTAL NACIONAL;3.1.-Agresión sexual;Ambos sexos;2023;3.125
TOTAL NACIONAL;3.1.-Agresión sexual;Ambos sexos;2022;2.618
TOTAL NACIONAL;3.1.-Agresión sexual;Ambos sexos;2021;2.188
TOTAL NACIONAL;3.1.-Agresión sexual;Ambos sexos;2020;1.520
TOTAL NACIONAL;3.1.-Agresión sexual;Ambos sexos;2019;1.509
TOTAL NACIONAL;3.1.-Agresión sexual;Ambos sexos;2018;1.320
TOTAL NACIONAL;3.2.-Agresión sexual con penetración;Masculino;2024;1.273
