Comunidades autónomas;Nacionalidad;Sexo;periodo;Total
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Femenino;2023;137
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Femenino;2022;132
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Femenino;2021;94
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Femenino;2020;88
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Femenino;2019;104
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Femenino;2018;111
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Ambos sexos;2024;513
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Ambos sexos;2023;570
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Ambos sexos;2022;532
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Ambos sexos;2021;437
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Ambos sexos;2020;350
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Ambos sexos;2019;394
TOTAL NACIONAL;1.05.-Guinea Ecuatorial;Ambos sexos;2018;385
TOTAL NACIONAL;1.06.-Ghana;Masculino;2024;521
TOTAL NACIONAL;1.06.-Ghana;Masculino;2023;533
TOTAL NACIONAL;1.06.-Ghana;Masculino;2022;463
TOTAL NACIONAL;1.06.-Ghana;Masculino;2021;459
TOTAL NACIONAL;1.06.-Ghana;Masculino;2020;415
TOTAL NACIONAL;1.06.-Ghana;Masculino;2019;364
TOTAL NACIONAL;1.06.-Ghana;Masculino;2018;361
TOTAL NACIONAL;1.06.-Ghana;Femenino;2024;32
TOTAL NACIONAL;1.06.-Ghana;Femenino;2023;35
TOTAL NACIONAL;1.06.-Ghana;Femenino;2022;27
TOTAL NACIONAL;1.06.-Ghana;Femenino;2021;12
TOTAL NACIONAL;1.06.-Ghana;Femenino;2020;15
TOTAL NACIONAL;1.06.-Ghana;Femenino;2019;10
TOTAL NACIONAL;1.06.-Ghana;Femenino;2018;15
TOTAL NACIONAL;1.06.-Ghana;Ambos sexos;2024;553
TOTAL NACIONAL;1.06.-Ghana;Ambos sexos;2023;568
TOTAL NACIONAL;1.06.-Ghana;Ambos sexos;2022;490
TOTAL NACIONAL;1.06.-Ghana;Ambos sexos;2021;471
TOTAL NACIONAL;1.06.-Ghana;Ambos sexos;2020;430
TOTAL NACIONAL;1.06.-Ghana;Ambos sexos;2019;374
TOTAL NACIONAL;1.06.-Ghana;Ambos sexos;2018;376
TOTAL NACIONAL;1.07.-Mali;Masculino;2024;848
TOTAL NACIONAL;1.07.-Mali;Masculino;2023;742
TOTAL NACIONAL;1.07.-Mali;Masculino;2022;612
TOTAL NACIONAL;1.07.-Mali;Masculino;2021;557
TOTAL NACIONAL;1.07.-Mali;Masculino;2020;571
TOTAL NACIONAL;1.07.-Mali;Masculino;2019;469
TOTAL NACIONAL;1.07.-Mali;Masculino;2018;380
TOTAL NACIONAL;1.07.-Mali;Femenino;2024;25
TOTAL NACIONAL;1.07.-Mali;Femenino;2023;25
TOTAL NACIONAL;1.07.-Mali;Femenino;2022;17
TOTAL NACIONAL;1.07.-Mali;Femenino;2021;17
TOTAL NACIONAL;1.07.-Mali;Femenino;2020;9
TOTAL NACIONAL;1.07.-Mali;Femenino;2019;11
TOTAL NACIONAL;1.07.-Mali;Femenino;2018;10
TOTAL NACIONAL;1.07.-Mali;Ambos sexos;2024;873
TOTAL NACIONAL;1.07.-Mali;Ambos sexos;2023;767
TOTAL NACIONAL;1.07.-Mali;Ambos sexos;2022;629
TOTAL NACIONAL;1.07.-Mali;Ambos sexos;2021;574
TOTAL NACIONAL;1.07.-Mali;Ambos sexos;2020;580
TOTAL NACIONAL;1.07.-Mali;Ambos sexos;2019;480
TOTAL NACIONAL;1.07.-Mali;Ambos sexos;2018;390
TOTAL NACIONAL;1.08.-Camerún;Masculino;2024;353
TOTAL NACIONAL;1.08.-Camerún;Masculino;2023;379
TOTAL NACIONAL;1.08.-Camerún;Masculino;2022;333
TOTAL NACIONAL;1.08.-Camerún;Masculino;2021;313
TOTAL NACIONAL;1.08.-Camerún;Masculino;2020;279
TOTAL NACIONAL;1.08.-Camerún;Masculino;2019;323
TOTAL NACIONAL;1.08.-Camerún;Masculino;2018;360
TOTAL NACIONAL;1.08.-Camerún;Femenino;2024;21
TOTAL NACIONAL;1.08.-Camerún;Femenino;2023;23
TOTAL NACIONAL;1.08.-Camerún;Femenino;2022;21
TOTAL NACIONAL;1.08.-Camerún;Femenino;2021;19
TOTAL NACIONAL;1.08.-Camerún;Femenino;2020;17
TOTAL NACIONAL;1.08.-Camerún;Femenino;2019;21
TOTAL NACIONAL;1.08.-Camerún;Femenino;2018;10
TOTAL NACIONAL;1.08.-Camerún;Ambos sexos;2024;374
TOTAL NACIONAL;1.08.-Camerún;Ambos sexos;2023;402
TOTAL NACIONAL;1.08.-Camerún;Ambos sexos;2022;354
TOTAL NACIONAL;1.08.-Camerún;Ambos sexos;2021;332
TOTAL NACIONAL;1.08.-Camerún;Ambos sexos;2020;296
TOTAL NACIONAL;1.08.-Camerún;Ambos sexos;2019;344
TOTAL NACIONAL;1.08.-Camerún;Ambos sexos;2018;370
TOTAL NACIONAL;1.09.-Gambia;Masculino;2024;1.264
TOTAL NACIONAL;1.09.-Gambia;Masculino;2023;991
TOTAL NACIONAL;1.09.-Gambia;Masculino;2022;774
TOTAL NACIONAL;1.09.-Gambia;Masculino;2021;642
TOTAL NACIONAL;1.09.-Gambia;Masculino;2020;643
TOTAL NACIONAL;1.09.-Gambia;Masculino;2019;344
TOTAL NACIONAL;1.09.-Gambia;Masculino;2018;316
TOTAL NACIONAL;1.09.-Gambia;Femenino;2024;36
TOTAL NACIONAL;1.09.-Gambia;Femenino;2023;31
TOTAL NACIONAL;1.09.-Gambia;Femenino;2022;47
TOTAL NACIONAL;1.09.-Gambia;Femenino;2021;22
TOTAL NACIONAL;1.09.-Gambia;Femenino;2020;28
TOTAL NACIONAL;1.09.-Gambia;Femenino;2019;8
TOTAL NACIONAL;1.09.-Gambia;Femenino;2018;7
TOTAL NACIONAL;1.09.-Gambia;Ambos sexos;2024;1.300
TOTAL NACIONAL;1.09.-Gambia;Ambos sexos;2023;1.022
TOTAL NACIONAL;1.09.-Gambia;Ambos sexos;2022;821
TOTAL NACIONAL;1.09.-Gambia;Ambos sexos;2021;664
TOTAL NACIONAL;1.09.-Gambia;Ambos sexos;2020;671
TOTAL NACIONAL;1.09.-Gambia;Ambos sexos;2019;352
TOTAL NACIONAL;1.09.-Gambia;Ambos sexos;2018;323
TOTAL NACIONAL;1.10.-Guinea Bisau;Masculino;2024;157
TOTAL NACIONAL;1.10.-Guinea Bisau;Masculino;2023;189
TOTAL NACIONAL;1.10.-Guinea Bisau;Masculino;2022;171
TOTAL NACIONAL;1.10.-Guinea Bisau;Masculino;2021;170
TOTAL NACIONAL;1.10.-Guinea Bisau;Masculino;2020;149
TOTAL NACIONAL;1.10.-Guinea Bisau;Masculino;2019;200
TOTAL NACIONAL;1.10.-Guinea Bisau;Masculino;2018;198
TOTAL NACIONAL;1.10.-Guinea Bisau;Femenino;2024;14
TOTAL NACIONAL;1.10.-Guinea Bisau;Femenino;2023;4
TOTAL NACIONAL;1.10.-Guinea Bisau;Femenino;2022;4
TOTAL NACIONAL;1.10.-Guinea Bisau;Femenino;2021;11
TOTAL NACIONAL;1.10.-Guinea Bisau;Femenino;2020;9
TOTAL NACIONAL;1.10.-Guinea Bisau;Femenino;2019;15
TOTAL NACIONAL;1.10.-Guinea Bisau;Femenino;2018;12
TOTAL NACIONAL;1.10.-Guinea Bisau;Ambos sexos;2024;171
TOTAL NACIONAL;1.10.-Guinea Bisau;Ambos sexos;2023;193
TOTAL NACIONAL;1.10.-Guinea Bisau;Ambos sexos;2022;175
TOTAL NACIONAL;1.10.-Guinea Bisau;Ambos sexos;2021;181
TOTAL NACIONAL;1.10.-Guinea Bisau;Ambos sexos;2020;158
TOTAL NACIONAL;1.10.-Guinea Bisau;Ambos sexos;2019;215
TOTAL NACIONAL;1.10.-Guinea Bisau;Ambos sexos;2018;210
TOTAL NACIONAL;1.11.-Resto África;Masculino;2024;2.944
TOTAL NACIONAL;1.11.-Resto África;Masculino;2023;2.880
TOTAL NACIONAL;1.11.-Resto África;Masculino;2022;2.582
TOTAL NACIONAL;1.11.-Resto África;Masculino;2021;2.196
TOTAL NACIONAL;1.11.-Resto África;Masculino;2020;2.143
TOTAL NACIONAL;1.11.-Resto África;Masculino;2019;1.673
TOTAL NACIONAL;1.11.-Resto África;Masculino;2018;1.427
TOTAL NACIONAL;1.11.-Resto África;Femenino;2024;190
TOTAL NACIONAL;1.11.-Resto África;Femenino;2023;166
TOTAL NACIONAL;1.11.-Resto África;Femenino;2022;158
TOTAL NACIONAL;1.11.-Resto África;Femenino;2021;138
TOTAL NACIONAL;1.11.-Resto África;Femenino;2020;118
TOTAL NACIONAL;1.11.-Resto África;Femenino;2019;112
TOTAL NACIONAL;1.11.-Resto África;Femenino;2018;98
TOTAL NACIONAL;1.11.-Resto África;Ambos sexos;2024;3.134
TOTAL NACIONAL;1.11.-Resto África;Ambos sexos;2023;3.046
TOTAL NACIONAL;1.11.-Resto África;Ambos sexos;2022;2.740
