Provincias;Tipología penal;periodo;Total
Araba/Álava;2.2.-Otros contra la libertad;2018;2
Araba/Álava;3. LIBERTAD SEXUAL;2024;7
Araba/Álava;3. LIBERTAD SEXUAL;2023;13
Araba/Álava;3. LIBERTAD SEXUAL;2022;5
Araba/Álava;3. LIBERTAD SEXUAL;2021;8
Araba/Álava;3. LIBERTAD SEXUAL;2020;8
Araba/Álava;3. LIBERTAD SEXUAL;2019;3
Araba/Álava;3. LIBERTAD SEXUAL;2018;5
Araba/Álava;3.1.-Agresión sexual;2024;1
Araba/Álava;3.1.-Agresión sexual;2023;4
Araba/Álava;3.1.-Agresión sexual;2022;3
Araba/Álava;3.1.-Agresión sexual;2021;2
Araba/Álava;3.1.-Agresión sexual;2020;2
Araba/Álava;3.1.-Agresión sexual;2019;0
Araba/Álava;3.1.-Agresión sexual;2018;2
Araba/Álava;3.2.-Agresión sexual con penetración;2024;1
Araba/Álava;3.2.-Agresión sexual con penetración;2023;1
Araba/Álava;3.2.-Agresión sexual con penetración;2022;1
Araba/Álava;3.2.-Agresión sexual con penetración;2021;1
Araba/Álava;3.2.-Agresión sexual con penetración;2020;1
Araba/Álava;3.2.-Agresión sexual con penetración;2019;0
Araba/Álava;3.2.-Agresión sexual con penetración;2018;1
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2024;0
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2023;0
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2022;0
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2021;1
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2020;0
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2019;0
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2018;0
Araba/Álava;3.4.-Pornografía de menores;2024;4
Araba/Álava;3.4.-Pornografía de menores;2023;6
Araba/Álava;3.4.-Pornografía de menores;2022;1
Araba/Álava;3.4.-Pornografía de menores;2021;4
Araba/Álava;3.4.-Pornografía de menores;2020;3
Araba/Álava;3.4.-Pornografía de menores;2019;2
Araba/Álava;3.4.-Pornografía de menores;2018;2
Araba/Álava;3.5.-Otros contra la libertad sexual;2024;1
Araba/Álava;3.5.-Otros contra la libertad sexual;2023;2
Araba/Álava;3.5.-Otros contra la libertad sexual;2022;0
Araba/Álava;3.5.-Otros contra la libertad sexual;2021;0
Araba/Álava;3.5.-Otros contra la libertad sexual;2020;2
Araba/Álava;3.5.-Otros contra la libertad sexual;2019;1
Araba/Álava;3.5.-Otros contra la libertad sexual;2018;0
Araba/Álava;4. RELACIONES FAMILIARES;2024;0
Araba/Álava;4. RELACIONES FAMILIARES;2023;1
Araba/Álava;4. RELACIONES FAMILIARES;2022;3
Araba/Álava;4. RELACIONES FAMILIARES;2021;0
Araba/Álava;4. RELACIONES FAMILIARES;2020;3
Araba/Álava;4. RELACIONES FAMILIARES;2019;3
Araba/Álava;4. RELACIONES FAMILIARES;2018;2
Araba/Álava;5. PATRIMONIO;2024;68
Araba/Álava;5. PATRIMONIO;2023;81
Araba/Álava;5. PATRIMONIO;2022;134
Araba/Álava;5. PATRIMONIO;2021;75
Araba/Álava;5. PATRIMONIO;2020;52
Araba/Álava;5. PATRIMONIO;2019;66
Araba/Álava;5. PATRIMONIO;2018;36
Araba/Álava;5.1.-Hurtos;2024;4
Araba/Álava;5.1.-Hurtos;2023;4
Araba/Álava;5.1.-Hurtos;2022;15
Araba/Álava;5.1.-Hurtos;2021;3
Araba/Álava;5.1.-Hurtos;2020;1
Araba/Álava;5.1.-Hurtos;2019;12
Araba/Álava;5.1.-Hurtos;2018;3
Araba/Álava;5.2.-Robos con fuerza en las cosas;2024;2
Araba/Álava;5.2.-Robos con fuerza en las cosas;2023;4
Araba/Álava;5.2.-Robos con fuerza en las cosas;2022;1
Araba/Álava;5.2.-Robos con fuerza en las cosas;2021;0
Araba/Álava;5.2.-Robos con fuerza en las cosas;2020;2
Araba/Álava;5.2.-Robos con fuerza en las cosas;2019;4
Araba/Álava;5.2.-Robos con fuerza en las cosas;2018;1
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2024;0
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;0
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;0
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;0
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;0
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;0
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;0
Araba/Álava;5.2.2.-Robos con fuerza en viviendas;2024;2
