Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2019;21.416
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2018;20.045
TOTAL NACIONAL;10. ORDEN PÚBLICO;2024;24.989
TOTAL NACIONAL;10. ORDEN PÚBLICO;2023;24.453
TOTAL NACIONAL;10. ORDEN PÚBLICO;2022;23.444
TOTAL NACIONAL;10. ORDEN PÚBLICO;2021;23.962
TOTAL NACIONAL;10. ORDEN PÚBLICO;2020;27.668
TOTAL NACIONAL;10. ORDEN PÚBLICO;2019;19.712
TOTAL NACIONAL;10. ORDEN PÚBLICO;2018;18.235
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2024;530
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2023;433
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2022;524
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2021;574
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2020;585
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2019;559
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2018;507
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2024;6.358
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2023;6.574
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2022;5.875
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2021;5.949
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2020;5.061
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2019;6.176
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2018;5.078
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2024;577.107
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2023;556.793
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2022;508.419
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2021;453.222
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2020;415.060
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2019;411.903
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2018;394.824
ANDALUCÍA;1. CONTRA LAS PERSONAS;2024;25.269
ANDALUCÍA;1. CONTRA LAS PERSONAS;2023;24.858
ANDALUCÍA;1. CONTRA LAS PERSONAS;2022;23.249
ANDALUCÍA;1. CONTRA LAS PERSONAS;2021;20.955
ANDALUCÍA;1. CONTRA LAS PERSONAS;2020;19.103
ANDALUCÍA;1. CONTRA LAS PERSONAS;2019;21.349
ANDALUCÍA;1. CONTRA LAS PERSONAS;2018;20.030
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2024;391
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2023;375
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2022;370
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2021;310
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2020;353
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2019;293
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2018;337
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2024;116
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;83
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;102
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;69
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;108
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;115
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;105
ANDALUCÍA;1.2.-Lesiones;2024;9.919
ANDALUCÍA;1.2.-Lesiones;2023;9.572
ANDALUCÍA;1.2.-Lesiones;2022;9.098
ANDALUCÍA;1.2.-Lesiones;2021;8.131
ANDALUCÍA;1.2.-Lesiones;2020;6.896
ANDALUCÍA;1.2.-Lesiones;2019;8.861
ANDALUCÍA;1.2.-Lesiones;2018;8.152
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2024;14.363
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2023;14.315
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2022;13.277
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2021;12.093
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2020;11.508
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2019;11.853
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2018;11.200
ANDALUCÍA;1.4.-Otros contra las personas;2024;596
ANDALUCÍA;1.4.-Otros contra las personas;2023;596
ANDALUCÍA;1.4.-Otros contra las personas;2022;504
ANDALUCÍA;1.4.-Otros contra las personas;2021;421
ANDALUCÍA;1.4.-Otros contra las personas;2020;346
ANDALUCÍA;1.4.-Otros contra las personas;2019;342
ANDALUCÍA;1.4.-Otros contra las personas;2018;341
ANDALUCÍA;2. CONTRA LA LIBERTAD;2024;11.471
ANDALUCÍA;2. CONTRA LA LIBERTAD;2023;11.376
ANDALUCÍA;2. CONTRA LA LIBERTAD;2022;9.785
ANDALUCÍA;2. CONTRA LA LIBERTAD;2021;9.461
ANDALUCÍA;2. CONTRA LA LIBERTAD;2020;9.103
ANDALUCÍA;2. CONTRA LA LIBERTAD;2019;9.618
ANDALUCÍA;2. CONTRA LA LIBERTAD;2018;9.401
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2024;2.233
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2023;2.308
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2022;2.172
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2021;2.169
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2020;2.083
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2019;2.176
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2018;2.120
ANDALUCÍA;2.2.-Otros contra la libertad;2024;9.238
ANDALUCÍA;2.2.-Otros contra la libertad;2023;9.068
ANDALUCÍA;2.2.-Otros contra la libertad;2022;7.613
ANDALUCÍA;2.2.-Otros contra la libertad;2021;7.292
ANDALUCÍA;2.2.-Otros contra la libertad;2020;7.020
ANDALUCÍA;2.2.-Otros contra la libertad;2019;7.442
ANDALUCÍA;2.2.-Otros contra la libertad;2018;7.281
