Provincias;Nacionalidad;Sexo;periodo;Total
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2024;513
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2023;570
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2022;532
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2021;437
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2020;350
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2019;394
Total Nacional;1.05.-Guinea Ecuatorial;Ambos sexos;2018;385
Total Nacional;1.06.-Ghana;Masculino;2024;521
Total Nacional;1.06.-Ghana;Masculino;2023;533
Total Nacional;1.06.-Ghana;Masculino;2022;463
Total Nacional;1.06.-Ghana;Masculino;2021;459
Total Nacional;1.06.-Ghana;Masculino;2020;415
Total Nacional;1.06.-Ghana;Masculino;2019;364
Total Nacional;1.06.-Ghana;Masculino;2018;361
Total Nacional;1.06.-Ghana;Femenino;2024;32
Total Nacional;1.06.-Ghana;Femenino;2023;35
Total Nacional;1.06.-Ghana;Femenino;2022;27
Total Nacional;1.06.-Ghana;Femenino;2021;12
Total Nacional;1.06.-Ghana;Femenino;2020;15
Total Nacional;1.06.-Ghana;Femenino;2019;10
Total Nacional;1.06.-Ghana;Femenino;2018;15
Total Nacional;1.06.-Ghana;Ambos sexos;2024;553
Total Nacional;1.06.-Ghana;Ambos sexos;2023;568
Total Nacional;1.06.-Ghana;Ambos sexos;2022;490
Total Nacional;1.06.-Ghana;Ambos sexos;2021;471
Total Nacional;1.06.-Ghana;Ambos sexos;2020;430
Total Nacional;1.06.-Ghana;Ambos sexos;2019;374
Total Nacional;1.06.-Ghana;Ambos sexos;2018;376
Total Nacional;1.07.-Mali;Masculino;2024;848
Total Nacional;1.07.-Mali;Masculino;2023;742
Total Nacional;1.07.-Mali;Masculino;2022;612
Total Nacional;1.07.-Mali;Masculino;2021;557
Total Nacional;1.07.-Mali;Masculino;2020;571
Total Nacional;1.07.-Mali;Masculino;2019;469
Total Nacional;1.07.-Mali;Masculino;2018;380
Total Nacional;1.07.-Mali;Femenino;2024;25
Total Nacional;1.07.-Mali;Femenino;2023;25
Total Nacional;1.07.-Mali;Femenino;2022;17
Total Nacional;1.07.-Mali;Femenino;2021;17
Total Nacional;1.07.-Mali;Femenino;2020;9
Total Nacional;1.07.-Mali;Femenino;2019;11
Total Nacional;1.07.-Mali;Femenino;2018;10
Total Nacional;1.07.-Mali;Ambos sexos;2024;873
Total Nacional;1.07.-Mali;Ambos sexos;2023;767
Total Nacional;1.07.-Mali;Ambos sexos;2022;629
Total Nacional;1.07.-Mali;Ambos sexos;2021;574
Total Nacional;1.07.-Mali;Ambos sexos;2020;580
Total Nacional;1.07.-Mali;Ambos sexos;2019;480
Total Nacional;1.07.-Mali;Ambos sexos;2018;390
Total Nacional;1.08.-Camerún;Masculino;2024;353
Total Nacional;1.08.-Camerún;Masculino;2023;379
Total Nacional;1.08.-Camerún;Masculino;2022;333
Total Nacional;1.08.-Camerún;Masculino;2021;313
Total Nacional;1.08.-Camerún;Masculino;2020;279
Total Nacional;1.08.-Camerún;Masculino;2019;323
Total Nacional;1.08.-Camerún;Masculino;2018;360
Total Nacional;1.08.-Camerún;Femenino;2024;21
Total Nacional;1.08.-Camerún;Femenino;2023;23
Total Nacional;1.08.-Camerún;Femenino;2022;21
Total Nacional;1.08.-Camerún;Femenino;2021;19
Total Nacional;1.08.-Camerún;Femenino;2020;17
Total Nacional;1.08.-Camerún;Femenino;2019;21
Total Nacional;1.08.-Camerún;Femenino;2018;10
Total Nacional;1.08.-Camerún;Ambos sexos;2024;374
Total Nacional;1.08.-Camerún;Ambos sexos;2023;402
Total Nacional;1.08.-Camerún;Ambos sexos;2022;354
Total Nacional;1.08.-Camerún;Ambos sexos;2021;332
Total Nacional;1.08.-Camerún;Ambos sexos;2020;296
Total Nacional;1.08.-Camerún;Ambos sexos;2019;344
Total Nacional;1.08.-Camerún;Ambos sexos;2018;370
Total Nacional;1.09.-Gambia;Masculino;2024;1.264
Total Nacional;1.09.-Gambia;Masculino;2023;991
Total Nacional;1.09.-Gambia;Masculino;2022;774
Total Nacional;1.09.-Gambia;Masculino;2021;642
Total Nacional;1.09.-Gambia;Masculino;2020;643
Total Nacional;1.09.-Gambia;Masculino;2019;344
Total Nacional;1.09.-Gambia;Masculino;2018;316
Total Nacional;1.09.-Gambia;Femenino;2024;36
Total Nacional;1.09.-Gambia;Femenino;2023;31
Total Nacional;1.09.-Gambia;Femenino;2022;47
Total Nacional;1.09.-Gambia;Femenino;2021;22
Total Nacional;1.09.-Gambia;Femenino;2020;28
Total Nacional;1.09.-Gambia;Femenino;2019;8
Total Nacional;1.09.-Gambia;Femenino;2018;7
Total Nacional;1.09.-Gambia;Ambos sexos;2024;1.300
Total Nacional;1.09.-Gambia;Ambos sexos;2023;1.022
Total Nacional;1.09.-Gambia;Ambos sexos;2022;821
Total Nacional;1.09.-Gambia;Ambos sexos;2021;664
Total Nacional;1.09.-Gambia;Ambos sexos;2020;671
Total Nacional;1.09.-Gambia;Ambos sexos;2019;352
Total Nacional;1.09.-Gambia;Ambos sexos;2018;323
Total Nacional;1.10.-Guinea Bisau;Masculino;2024;157
Total Nacional;1.10.-Guinea Bisau;Masculino;2023;189
Total Nacional;1.10.-Guinea Bisau;Masculino;2022;171
Total Nacional;1.10.-Guinea Bisau;Masculino;2021;170
Total Nacional;1.10.-Guinea Bisau;Masculino;2020;149
Total Nacional;1.10.-Guinea Bisau;Masculino;2019;200
Total Nacional;1.10.-Guinea Bisau;Masculino;2018;198
Total Nacional;1.10.-Guinea Bisau;Femenino;2024;14
Total Nacional;1.10.-Guinea Bisau;Femenino;2023;4
Total Nacional;1.10.-Guinea Bisau;Femenino;2022;4
Total Nacional;1.10.-Guinea Bisau;Femenino;2021;11
Total Nacional;1.10.-Guinea Bisau;Femenino;2020;9
Total Nacional;1.10.-Guinea Bisau;Femenino;2019;15
Total Nacional;1.10.-Guinea Bisau;Femenino;2018;12
Total Nacional;1.10.-Guinea Bisau;Ambos sexos;2024;171
Total Nacional;1.10.-Guinea Bisau;Ambos sexos;2023;193
Total Nacional;1.10.-Guinea Bisau;Ambos sexos;2022;175
Total Nacional;1.10.-Guinea Bisau;Ambos sexos;2021;181
Total Nacional;1.10.-Guinea Bisau;Ambos sexos;2020;158
Total Nacional;1.10.-Guinea Bisau;Ambos sexos;2019;215
Total Nacional;1.10.-Guinea Bisau;Ambos sexos;2018;210
Total Nacional;1.11.-Resto África;Masculino;2024;2.944
Total Nacional;1.11.-Resto África;Masculino;2023;2.880
Total Nacional;1.11.-Resto África;Masculino;2022;2.582
Total Nacional;1.11.-Resto África;Masculino;2021;2.196
Total Nacional;1.11.-Resto África;Masculino;2020;2.143
Total Nacional;1.11.-Resto África;Masculino;2019;1.673
Total Nacional;1.11.-Resto África;Masculino;2018;1.427
Total Nacional;1.11.-Resto África;Femenino;2024;190
Total Nacional;1.11.-Resto África;Femenino;2023;166
Total Nacional;1.11.-Resto África;Femenino;2022;158
Total Nacional;1.11.-Resto África;Femenino;2021;138
Total Nacional;1.11.-Resto África;Femenino;2020;118
Total Nacional;1.11.-Resto África;Femenino;2019;112
Total Nacional;1.11.-Resto África;Femenino;2018;98
Total Nacional;1.11.-Resto África;Ambos sexos;2024;3.134
Total Nacional;1.11.-Resto África;Ambos sexos;2023;3.046
Total Nacional;1.11.-Resto África;Ambos sexos;2022;2.740
Total Nacional;1.11.-Resto África;Ambos sexos;2021;2.334
Total Nacional;1.11.-Resto África;Ambos sexos;2020;2.261
Total Nacional;1.11.-Resto África;Ambos sexos;2019;1.785
Total Nacional;1.11.-Resto África;Ambos sexos;2018;1.525
Total Nacional;2.-CONTINENTE AMERICANO;Masculino;2024;55.722
Total Nacional;2.-CONTINENTE AMERICANO;Masculino;2023;49.316
Total Nacional;2.-CONTINENTE AMERICANO;Masculino;2022;41.635
Total Nacional;2.-CONTINENTE AMERICANO;Masculino;2021;34.111
Total Nacional;2.-CONTINENTE AMERICANO;Masculino;2020;31.476
Total Nacional;2.-CONTINENTE AMERICANO;Masculino;2019;23.341
Total Nacional;2.-CONTINENTE AMERICANO;Masculino;2018;19.969
Total Nacional;2.-CONTINENTE AMERICANO;Femenino;2024;16.108
Total Nacional;2.-CONTINENTE AMERICANO;Femenino;2023;14.580
Total Nacional;2.-CONTINENTE AMERICANO;Femenino;2022;12.383
Total Nacional;2.-CONTINENTE AMERICANO;Femenino;2021;10.350
Total Nacional;2.-CONTINENTE AMERICANO;Femenino;2020;9.908
Total Nacional;2.-CONTINENTE AMERICANO;Femenino;2019;6.523
Total Nacional;2.-CONTINENTE AMERICANO;Femenino;2018;5.372
Total Nacional;2.-CONTINENTE AMERICANO;Ambos sexos;2024;71.830
Total Nacional;2.-CONTINENTE AMERICANO;Ambos sexos;2023;63.896
Total Nacional;2.-CONTINENTE AMERICANO;Ambos sexos;2022;54.018
Total Nacional;2.-CONTINENTE AMERICANO;Ambos sexos;2021;44.461
Total Nacional;2.-CONTINENTE AMERICANO;Ambos sexos;2020;41.384
Total Nacional;2.-CONTINENTE AMERICANO;Ambos sexos;2019;29.864
Total Nacional;2.-CONTINENTE AMERICANO;Ambos sexos;2018;25.341
Total Nacional;2.01.-Ecuador;Masculino;2024;5.611
Total Nacional;2.01.-Ecuador;Masculino;2023;5.557
Total Nacional;2.01.-Ecuador;Masculino;2022;5.324
Total Nacional;2.01.-Ecuador;Masculino;2021;4.841
Total Nacional;2.01.-Ecuador;Masculino;2020;4.548
Total Nacional;2.01.-Ecuador;Masculino;2019;4.039
Total Nacional;2.01.-Ecuador;Masculino;2018;3.954
Total Nacional;2.01.-Ecuador;Femenino;2024;1.140
Total Nacional;2.01.-Ecuador;Femenino;2023;1.035
Total Nacional;2.01.-Ecuador;Femenino;2022;978
Total Nacional;2.01.-Ecuador;Femenino;2021;916
Total Nacional;2.01.-Ecuador;Femenino;2020;844
Total Nacional;2.01.-Ecuador;Femenino;2019;707
Total Nacional;2.01.-Ecuador;Femenino;2018;676
Total Nacional;2.01.-Ecuador;Ambos sexos;2024;6.751
Total Nacional;2.01.-Ecuador;Ambos sexos;2023;6.592
Total Nacional;2.01.-Ecuador;Ambos sexos;2022;6.302
Total Nacional;2.01.-Ecuador;Ambos sexos;2021;5.757
Total Nacional;2.01.-Ecuador;Ambos sexos;2020;5.392
Total Nacional;2.01.-Ecuador;Ambos sexos;2019;4.746
Total Nacional;2.01.-Ecuador;Ambos sexos;2018;4.630
Total Nacional;2.02.-Colombia;Masculino;2024;16.885
Total Nacional;2.02.-Colombia;Masculino;2023;14.027
Total Nacional;2.02.-Colombia;Masculino;2022;10.548
Total Nacional;2.02.-Colombia;Masculino;2021;7.964
Total Nacional;2.02.-Colombia;Masculino;2020;7.193
Total Nacional;2.02.-Colombia;Masculino;2019;5.481
Total Nacional;2.02.-Colombia;Masculino;2018;4.401
Total Nacional;2.02.-Colombia;Femenino;2024;4.432
Total Nacional;2.02.-Colombia;Femenino;2023;3.770
Total Nacional;2.02.-Colombia;Femenino;2022;2.857
Total Nacional;2.02.-Colombia;Femenino;2021;2.213
Total Nacional;2.02.-Colombia;Femenino;2020;2.067
Total Nacional;2.02.-Colombia;Femenino;2019;1.449
Total Nacional;2.02.-Colombia;Femenino;2018;1.136
Total Nacional;2.02.-Colombia;Ambos sexos;2024;21.317
Total Nacional;2.02.-Colombia;Ambos sexos;2023;17.797
Total Nacional;2.02.-Colombia;Ambos sexos;2022;13.405
Total Nacional;2.02.-Colombia;Ambos sexos;2021;10.177
Total Nacional;2.02.-Colombia;Ambos sexos;2020;9.260
Total Nacional;2.02.-Colombia;Ambos sexos;2019;6.930
Total Nacional;2.02.-Colombia;Ambos sexos;2018;5.537
Total Nacional;2.03.-Rep. Dominicana;Masculino;2024;3.833
Total Nacional;2.03.-Rep. Dominicana;Masculino;2023;3.494
Total Nacional;2.03.-Rep. Dominicana;Masculino;2022;3.266
Total Nacional;2.03.-Rep. Dominicana;Masculino;2021;3.156
Total Nacional;2.03.-Rep. Dominicana;Masculino;2020;2.853
Total Nacional;2.03.-Rep. Dominicana;Masculino;2019;2.091
Total Nacional;2.03.-Rep. Dominicana;Masculino;2018;1.898
Total Nacional;2.03.-Rep. Dominicana;Femenino;2024;821
Total Nacional;2.03.-Rep. Dominicana;Femenino;2023;841
Total Nacional;2.03.-Rep. Dominicana;Femenino;2022;786
Total Nacional;2.03.-Rep. Dominicana;Femenino;2021;771
Total Nacional;2.03.-Rep. Dominicana;Femenino;2020;733
Total Nacional;2.03.-Rep. Dominicana;Femenino;2019;447
Total Nacional;2.03.-Rep. Dominicana;Femenino;2018;459
Total Nacional;2.03.-Rep. Dominicana;Ambos sexos;2024;4.654
Total Nacional;2.03.-Rep. Dominicana;Ambos sexos;2023;4.335
Total Nacional;2.03.-Rep. Dominicana;Ambos sexos;2022;4.052
Total Nacional;2.03.-Rep. Dominicana;Ambos sexos;2021;3.927
Total Nacional;2.03.-Rep. Dominicana;Ambos sexos;2020;3.586
Total Nacional;2.03.-Rep. Dominicana;Ambos sexos;2019;2.538
Total Nacional;2.03.-Rep. Dominicana;Ambos sexos;2018;2.357
Total Nacional;2.04.-Bolivia;Masculino;2024;2.072
Total Nacional;2.04.-Bolivia;Masculino;2023;2.150
Total Nacional;2.04.-Bolivia;Masculino;2022;2.004
Total Nacional;2.04.-Bolivia;Masculino;2021;1.907
Total Nacional;2.04.-Bolivia;Masculino;2020;1.730
Total Nacional;2.04.-Bolivia;Masculino;2019;1.538
Total Nacional;2.04.-Bolivia;Masculino;2018;1.442
Total Nacional;2.04.-Bolivia;Femenino;2024;617
Total Nacional;2.04.-Bolivia;Femenino;2023;713
Total Nacional;2.04.-Bolivia;Femenino;2022;614
Total Nacional;2.04.-Bolivia;Femenino;2021;565
Total Nacional;2.04.-Bolivia;Femenino;2020;500
Total Nacional;2.04.-Bolivia;Femenino;2019;388
Total Nacional;2.04.-Bolivia;Femenino;2018;348
Total Nacional;2.04.-Bolivia;Ambos sexos;2024;2.689
Total Nacional;2.04.-Bolivia;Ambos sexos;2023;2.863
Total Nacional;2.04.-Bolivia;Ambos sexos;2022;2.618
Total Nacional;2.04.-Bolivia;Ambos sexos;2021;2.472
Total Nacional;2.04.-Bolivia;Ambos sexos;2020;2.230
Total Nacional;2.04.-Bolivia;Ambos sexos;2019;1.926
Total Nacional;2.04.-Bolivia;Ambos sexos;2018;1.790
Total Nacional;2.05.-Perú;Masculino;2024;7.957
Total Nacional;2.05.-Perú;Masculino;2023;6.614
Total Nacional;2.05.-Perú;Masculino;2022;4.921
Total Nacional;2.05.-Perú;Masculino;2021;3.194
Total Nacional;2.05.-Perú;Masculino;2020;3.068
Total Nacional;2.05.-Perú;Masculino;2019;1.946
Total Nacional;2.05.-Perú;Masculino;2018;1.544
Total Nacional;2.05.-Perú;Femenino;2024;2.589
Total Nacional;2.05.-Perú;Femenino;2023;2.321
Total Nacional;2.05.-Perú;Femenino;2022;1.811
Total Nacional;2.05.-Perú;Femenino;2021;1.256
Total Nacional;2.05.-Perú;Femenino;2020;1.248
Total Nacional;2.05.-Perú;Femenino;2019;564
Total Nacional;2.05.-Perú;Femenino;2018;378
Total Nacional;2.05.-Perú;Ambos sexos;2024;10.546
Total Nacional;2.05.-Perú;Ambos sexos;2023;8.935
Total Nacional;2.05.-Perú;Ambos sexos;2022;6.732
Total Nacional;2.05.-Perú;Ambos sexos;2021;4.450
Total Nacional;2.05.-Perú;Ambos sexos;2020;4.316
Total Nacional;2.05.-Perú;Ambos sexos;2019;2.510
Total Nacional;2.05.-Perú;Ambos sexos;2018;1.922
Total Nacional;2.06.-Argentina;Masculino;2024;2.017
Total Nacional;2.06.-Argentina;Masculino;2023;1.899
Total Nacional;2.06.-Argentina;Masculino;2022;1.668
Total Nacional;2.06.-Argentina;Masculino;2021;1.343
Total Nacional;2.06.-Argentina;Masculino;2020;1.241
Total Nacional;2.06.-Argentina;Masculino;2019;971
