Provincias;Tipología penal;periodo;Total
Total Nacional;12. OTRAS INFRACCIONES PENALES;2024;6.358
Total Nacional;12. OTRAS INFRACCIONES PENALES;2023;6.574
Total Nacional;12. OTRAS INFRACCIONES PENALES;2022;5.875
Total Nacional;12. OTRAS INFRACCIONES PENALES;2021;5.949
Total Nacional;12. OTRAS INFRACCIONES PENALES;2020;5.061
Total Nacional;12. OTRAS INFRACCIONES PENALES;2019;6.176
Total Nacional;12. OTRAS INFRACCIONES PENALES;2018;5.078
Total Nacional;TOTAL INFRACCIONES PENALES;2024;577.107
Total Nacional;TOTAL INFRACCIONES PENALES;2023;556.793
Total Nacional;TOTAL INFRACCIONES PENALES;2022;508.419
Total Nacional;TOTAL INFRACCIONES PENALES;2021;453.222
Total Nacional;TOTAL INFRACCIONES PENALES;2020;415.060
Total Nacional;TOTAL INFRACCIONES PENALES;2019;411.903
Total Nacional;TOTAL INFRACCIONES PENALES;2018;394.824
Araba/Álava;1. CONTRA LAS PERSONAS;2024;272
Araba/Álava;1. CONTRA LAS PERSONAS;2023;250
Araba/Álava;1. CONTRA LAS PERSONAS;2022;219
Araba/Álava;1. CONTRA LAS PERSONAS;2021;148
Araba/Álava;1. CONTRA LAS PERSONAS;2020;142
Araba/Álava;1. CONTRA LAS PERSONAS;2019;86
Araba/Álava;1. CONTRA LAS PERSONAS;2018;93
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2024;6
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2023;6
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2022;3
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2021;2
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2020;2
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2019;2
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2018;11
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2024;1
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;1
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;0
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;1
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;1
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;1
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;2
Araba/Álava;1.2.-Lesiones;2024;79
Araba/Álava;1.2.-Lesiones;2023;69
Araba/Álava;1.2.-Lesiones;2022;73
Araba/Álava;1.2.-Lesiones;2021;60
Araba/Álava;1.2.-Lesiones;2020;38
Araba/Álava;1.2.-Lesiones;2019;27
Araba/Álava;1.2.-Lesiones;2018;37
Araba/Álava;1.3.-Malos tratos ámbito familiar;2024;185
Araba/Álava;1.3.-Malos tratos ámbito familiar;2023;173
Araba/Álava;1.3.-Malos tratos ámbito familiar;2022;135
Araba/Álava;1.3.-Malos tratos ámbito familiar;2021;85
Araba/Álava;1.3.-Malos tratos ámbito familiar;2020;100
Araba/Álava;1.3.-Malos tratos ámbito familiar;2019;57
Araba/Álava;1.3.-Malos tratos ámbito familiar;2018;40
Araba/Álava;1.4.-Otros contra las personas;2024;2
Araba/Álava;1.4.-Otros contra las personas;2023;2
Araba/Álava;1.4.-Otros contra las personas;2022;8
Araba/Álava;1.4.-Otros contra las personas;2021;1
Araba/Álava;1.4.-Otros contra las personas;2020;2
Araba/Álava;1.4.-Otros contra las personas;2019;0
Araba/Álava;1.4.-Otros contra las personas;2018;5
Araba/Álava;2. CONTRA LA LIBERTAD;2024;101
Araba/Álava;2. CONTRA LA LIBERTAD;2023;109
Araba/Álava;2. CONTRA LA LIBERTAD;2022;93
Araba/Álava;2. CONTRA LA LIBERTAD;2021;87
Araba/Álava;2. CONTRA LA LIBERTAD;2020;113
Araba/Álava;2. CONTRA LA LIBERTAD;2019;106
Araba/Álava;2. CONTRA LA LIBERTAD;2018;117
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2024;43
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2023;42
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2022;49
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2021;45
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2020;86
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2019;90
Araba/Álava;2.1.-Malos tratos habituales en el ámbito familiar;2018;96
Araba/Álava;2.2.-Otros contra la libertad;2024;58
Araba/Álava;2.2.-Otros contra la libertad;2023;67
Araba/Álava;2.2.-Otros contra la libertad;2022;44
Araba/Álava;2.2.-Otros contra la libertad;2021;42
Araba/Álava;2.2.-Otros contra la libertad;2020;27
Araba/Álava;2.2.-Otros contra la libertad;2019;16
Araba/Álava;2.2.-Otros contra la libertad;2018;21
Araba/Álava;3. LIBERTAD SEXUAL;2024;41
Araba/Álava;3. LIBERTAD SEXUAL;2023;25
Araba/Álava;3. LIBERTAD SEXUAL;2022;28
Araba/Álava;3. LIBERTAD SEXUAL;2021;32
Araba/Álava;3. LIBERTAD SEXUAL;2020;38
Araba/Álava;3. LIBERTAD SEXUAL;2019;37
Araba/Álava;3. LIBERTAD SEXUAL;2018;33
Araba/Álava;3.1.-Agresión sexual;2024;17
Araba/Álava;3.1.-Agresión sexual;2023;12
Araba/Álava;3.1.-Agresión sexual;2022;13
Araba/Álava;3.1.-Agresión sexual;2021;13
Araba/Álava;3.1.-Agresión sexual;2020;16
Araba/Álava;3.1.-Agresión sexual;2019;15
Araba/Álava;3.1.-Agresión sexual;2018;18
Araba/Álava;3.2.-Agresión sexual con penetración;2024;11
Araba/Álava;3.2.-Agresión sexual con penetración;2023;4
Araba/Álava;3.2.-Agresión sexual con penetración;2022;7
Araba/Álava;3.2.-Agresión sexual con penetración;2021;13
Araba/Álava;3.2.-Agresión sexual con penetración;2020;10
Araba/Álava;3.2.-Agresión sexual con penetración;2019;10
Araba/Álava;3.2.-Agresión sexual con penetración;2018;4
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2024;1
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2023;1
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2022;5
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2021;0
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2020;0
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2019;0
Araba/Álava;3.3.-Corrupción de menores o incapacitados;2018;4
Araba/Álava;3.4.-Pornografía de menores;2024;6
Araba/Álava;3.4.-Pornografía de menores;2023;4
Araba/Álava;3.4.-Pornografía de menores;2022;1
Araba/Álava;3.4.-Pornografía de menores;2021;6
Araba/Álava;3.4.-Pornografía de menores;2020;6
Araba/Álava;3.4.-Pornografía de menores;2019;5
Araba/Álava;3.4.-Pornografía de menores;2018;6
Araba/Álava;3.5.-Otros contra la libertad sexual;2024;6
Araba/Álava;3.5.-Otros contra la libertad sexual;2023;4
Araba/Álava;3.5.-Otros contra la libertad sexual;2022;2
Araba/Álava;3.5.-Otros contra la libertad sexual;2021;0
Araba/Álava;3.5.-Otros contra la libertad sexual;2020;6
Araba/Álava;3.5.-Otros contra la libertad sexual;2019;7
Araba/Álava;3.5.-Otros contra la libertad sexual;2018;1
Araba/Álava;4. RELACIONES FAMILIARES;2024;1
Araba/Álava;4. RELACIONES FAMILIARES;2023;1
Araba/Álava;4. RELACIONES FAMILIARES;2022;1
Araba/Álava;4. RELACIONES FAMILIARES;2021;0
Araba/Álava;4. RELACIONES FAMILIARES;2020;0
Araba/Álava;4. RELACIONES FAMILIARES;2019;3
Araba/Álava;4. RELACIONES FAMILIARES;2018;0
Araba/Álava;5. PATRIMONIO;2024;271
Araba/Álava;5. PATRIMONIO;2023;276
Araba/Álava;5. PATRIMONIO;2022;235
Araba/Álava;5. PATRIMONIO;2021;206
Araba/Álava;5. PATRIMONIO;2020;230
Araba/Álava;5. PATRIMONIO;2019;205
Araba/Álava;5. PATRIMONIO;2018;177
Araba/Álava;5.1.-Hurtos;2024;44
Araba/Álava;5.1.-Hurtos;2023;58
Araba/Álava;5.1.-Hurtos;2022;28
Araba/Álava;5.1.-Hurtos;2021;21
Araba/Álava;5.1.-Hurtos;2020;29
Araba/Álava;5.1.-Hurtos;2019;33
