Provincias;Tipología penal;Sexo;periodo;Total
Lleida;5.1.-Hurtos;Femenino;2018;0
Lleida;5.1.-Hurtos;Ambos sexos;2024;425
Lleida;5.1.-Hurtos;Ambos sexos;2023;519
Lleida;5.1.-Hurtos;Ambos sexos;2022;488
Lleida;5.1.-Hurtos;Ambos sexos;2021;309
Lleida;5.1.-Hurtos;Ambos sexos;2020;242
Lleida;5.1.-Hurtos;Ambos sexos;2019;0
Lleida;5.1.-Hurtos;Ambos sexos;2018;2
Lleida;5.2.-Robos con fuerza en las cosas;Masculino;2024;105
Lleida;5.2.-Robos con fuerza en las cosas;Masculino;2023;75
Lleida;5.2.-Robos con fuerza en las cosas;Masculino;2022;86
Lleida;5.2.-Robos con fuerza en las cosas;Masculino;2021;78
Lleida;5.2.-Robos con fuerza en las cosas;Masculino;2020;83
Lleida;5.2.-Robos con fuerza en las cosas;Masculino;2019;0
Lleida;5.2.-Robos con fuerza en las cosas;Masculino;2018;4
Lleida;5.2.-Robos con fuerza en las cosas;Femenino;2024;3
Lleida;5.2.-Robos con fuerza en las cosas;Femenino;2023;5
Lleida;5.2.-Robos con fuerza en las cosas;Femenino;2022;4
Lleida;5.2.-Robos con fuerza en las cosas;Femenino;2021;3
Lleida;5.2.-Robos con fuerza en las cosas;Femenino;2020;6
Lleida;5.2.-Robos con fuerza en las cosas;Femenino;2019;0
Lleida;5.2.-Robos con fuerza en las cosas;Femenino;2018;0
Lleida;5.2.-Robos con fuerza en las cosas;Ambos sexos;2024;108
Lleida;5.2.-Robos con fuerza en las cosas;Ambos sexos;2023;80
Lleida;5.2.-Robos con fuerza en las cosas;Ambos sexos;2022;90
Lleida;5.2.-Robos con fuerza en las cosas;Ambos sexos;2021;81
Lleida;5.2.-Robos con fuerza en las cosas;Ambos sexos;2020;89
Lleida;5.2.-Robos con fuerza en las cosas;Ambos sexos;2019;0
Lleida;5.2.-Robos con fuerza en las cosas;Ambos sexos;2018;4
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2024;25
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2023;4
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2022;25
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2021;17
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2020;0
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2019;0
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2018;0
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2024;0
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2023;0
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2022;0
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2021;0
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2020;0
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2019;0
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2018;0
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2024;25
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2023;4
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2022;25
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2021;17
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2020;0
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2019;0
Lleida;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2018;0
Lleida;5.2.2.-Robos con fuerza en viviendas;Masculino;2024;37
Lleida;5.2.2.-Robos con fuerza en viviendas;Masculino;2023;42
Lleida;5.2.2.-Robos con fuerza en viviendas;Masculino;2022;26
Lleida;5.2.2.-Robos con fuerza en viviendas;Masculino;2021;17
Lleida;5.2.2.-Robos con fuerza en viviendas;Masculino;2020;36
Lleida;5.2.2.-Robos con fuerza en viviendas;Masculino;2019;0
Lleida;5.2.2.-Robos con fuerza en viviendas;Masculino;2018;2
Lleida;5.2.2.-Robos con fuerza en viviendas;Femenino;2024;1
Lleida;5.2.2.-Robos con fuerza en viviendas;Femenino;2023;1
Lleida;5.2.2.-Robos con fuerza en viviendas;Femenino;2022;2
Lleida;5.2.2.-Robos con fuerza en viviendas;Femenino;2021;2
Lleida;5.2.2.-Robos con fuerza en viviendas;Femenino;2020;6
Lleida;5.2.2.-Robos con fuerza en viviendas;Femenino;2019;0
Lleida;5.2.2.-Robos con fuerza en viviendas;Femenino;2018;0
Lleida;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2024;38
Lleida;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2023;43
Lleida;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2022;28
Lleida;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2021;19
Lleida;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2020;42
Lleida;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2019;0
Lleida;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2018;2
Lleida;5.2.3.-Robos con fuerza en establecimientos;Masculino;2024;12
Lleida;5.2.3.-Robos con fuerza en establecimientos;Masculino;2023;13
Lleida;5.2.3.-Robos con fuerza en establecimientos;Masculino;2022;16
Lleida;5.2.3.-Robos con fuerza en establecimientos;Masculino;2021;14
Lleida;5.2.3.-Robos con fuerza en establecimientos;Masculino;2020;17
Lleida;5.2.3.-Robos con fuerza en establecimientos;Masculino;2019;0
Lleida;5.2.3.-Robos con fuerza en establecimientos;Masculino;2018;1
Lleida;5.2.3.-Robos con fuerza en establecimientos;Femenino;2024;0
Lleida;5.2.3.-Robos con fuerza en establecimientos;Femenino;2023;0
Lleida;5.2.3.-Robos con fuerza en establecimientos;Femenino;2022;1
Lleida;5.2.3.-Robos con fuerza en establecimientos;Femenino;2021;1
Lleida;5.2.3.-Robos con fuerza en establecimientos;Femenino;2020;0
Lleida;5.2.3.-Robos con fuerza en establecimientos;Femenino;2019;0
Lleida;5.2.3.-Robos con fuerza en establecimientos;Femenino;2018;0
Lleida;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2024;12
Lleida;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2023;13
Lleida;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2022;17
Lleida;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2021;15
Lleida;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2020;17
Lleida;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2019;0
Lleida;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2018;1
Lleida;5.3.-Robos con violencia o intimidación;Masculino;2024;40
Lleida;5.3.-Robos con violencia o intimidación;Masculino;2023;48
Lleida;5.3.-Robos con violencia o intimidación;Masculino;2022;38
Lleida;5.3.-Robos con violencia o intimidación;Masculino;2021;36
Lleida;5.3.-Robos con violencia o intimidación;Masculino;2020;25
Lleida;5.3.-Robos con violencia o intimidación;Masculino;2019;0
Lleida;5.3.-Robos con violencia o intimidación;Masculino;2018;0
Lleida;5.3.-Robos con violencia o intimidación;Femenino;2024;4
Lleida;5.3.-Robos con violencia o intimidación;Femenino;2023;3
Lleida;5.3.-Robos con violencia o intimidación;Femenino;2022;5
Lleida;5.3.-Robos con violencia o intimidación;Femenino;2021;0
Lleida;5.3.-Robos con violencia o intimidación;Femenino;2020;5
Lleida;5.3.-Robos con violencia o intimidación;Femenino;2019;0
Lleida;5.3.-Robos con violencia o intimidación;Femenino;2018;0
Lleida;5.3.-Robos con violencia o intimidación;Ambos sexos;2024;44
Lleida;5.3.-Robos con violencia o intimidación;Ambos sexos;2023;51
Lleida;5.3.-Robos con violencia o intimidación;Ambos sexos;2022;43
Lleida;5.3.-Robos con violencia o intimidación;Ambos sexos;2021;36
Lleida;5.3.-Robos con violencia o intimidación;Ambos sexos;2020;30
Lleida;5.3.-Robos con violencia o intimidación;Ambos sexos;2019;0
Lleida;5.3.-Robos con violencia o intimidación;Ambos sexos;2018;0
Lleida;5.3.1.-Robos con violencia en vía pública;Masculino;2024;19
Lleida;5.3.1.-Robos con violencia en vía pública;Masculino;2023;28
Lleida;5.3.1.-Robos con violencia en vía pública;Masculino;2022;23
Lleida;5.3.1.-Robos con violencia en vía pública;Masculino;2021;20
Lleida;5.3.1.-Robos con violencia en vía pública;Masculino;2020;19
Lleida;5.3.1.-Robos con violencia en vía pública;Masculino;2019;0
Lleida;5.3.1.-Robos con violencia en vía pública;Masculino;2018;0
Lleida;5.3.1.-Robos con violencia en vía pública;Femenino;2024;2
Lleida;5.3.1.-Robos con violencia en vía pública;Femenino;2023;1
Lleida;5.3.1.-Robos con violencia en vía pública;Femenino;2022;1
Lleida;5.3.1.-Robos con violencia en vía pública;Femenino;2021;0
Lleida;5.3.1.-Robos con violencia en vía pública;Femenino;2020;2
Lleida;5.3.1.-Robos con violencia en vía pública;Femenino;2019;0
Lleida;5.3.1.-Robos con violencia en vía pública;Femenino;2018;0
Lleida;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2024;21
Lleida;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2023;29
Lleida;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2022;24
Lleida;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2021;20
Lleida;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2020;21
Lleida;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2019;0
Lleida;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2018;0
Lleida;5.3.2.-Robos con violencia en viviendas;Masculino;2024;4
Lleida;5.3.2.-Robos con violencia en viviendas;Masculino;2023;5
Lleida;5.3.2.-Robos con violencia en viviendas;Masculino;2022;2
Lleida;5.3.2.-Robos con violencia en viviendas;Masculino;2021;1
Lleida;5.3.2.-Robos con violencia en viviendas;Masculino;2020;1
Lleida;5.3.2.-Robos con violencia en viviendas;Masculino;2019;0
Lleida;5.3.2.-Robos con violencia en viviendas;Masculino;2018;0
Lleida;5.3.2.-Robos con violencia en viviendas;Femenino;2024;1
Lleida;5.3.2.-Robos con violencia en viviendas;Femenino;2023;0
Lleida;5.3.2.-Robos con violencia en viviendas;Femenino;2022;0
Lleida;5.3.2.-Robos con violencia en viviendas;Femenino;2021;0
Lleida;5.3.2.-Robos con violencia en viviendas;Femenino;2020;0
Lleida;5.3.2.-Robos con violencia en viviendas;Femenino;2019;0
Lleida;5.3.2.-Robos con violencia en viviendas;Femenino;2018;0
Lleida;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2024;5
Lleida;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2023;5
Lleida;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2022;2
Lleida;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2021;1
Lleida;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2020;1
Lleida;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2019;0
Lleida;5.3.2.-Robos con violencia en viviendas;Ambos sexos;2018;0
Lleida;5.3.3.-Robos con violencia en establecimientos;Masculino;2024;17
Lleida;5.3.3.-Robos con violencia en establecimientos;Masculino;2023;13
Lleida;5.3.3.-Robos con violencia en establecimientos;Masculino;2022;12
Lleida;5.3.3.-Robos con violencia en establecimientos;Masculino;2021;13
Lleida;5.3.3.-Robos con violencia en establecimientos;Masculino;2020;5
Lleida;5.3.3.-Robos con violencia en establecimientos;Masculino;2019;0
Lleida;5.3.3.-Robos con violencia en establecimientos;Masculino;2018;0
Lleida;5.3.3.-Robos con violencia en establecimientos;Femenino;2024;1
Lleida;5.3.3.-Robos con violencia en establecimientos;Femenino;2023;2
Lleida;5.3.3.-Robos con violencia en establecimientos;Femenino;2022;3
Lleida;5.3.3.-Robos con violencia en establecimientos;Femenino;2021;0
Lleida;5.3.3.-Robos con violencia en establecimientos;Femenino;2020;3
Lleida;5.3.3.-Robos con violencia en establecimientos;Femenino;2019;0
Lleida;5.3.3.-Robos con violencia en establecimientos;Femenino;2018;0
Lleida;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2024;18
Lleida;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2023;15
Lleida;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2022;15
Lleida;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2021;13
Lleida;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2020;8
Lleida;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2019;0
Lleida;5.3.3.-Robos con violencia en establecimientos;Ambos sexos;2018;0
Lleida;5.4.-Sustracción de vehículos;Masculino;2024;7
Lleida;5.4.-Sustracción de vehículos;Masculino;2023;9
Lleida;5.4.-Sustracción de vehículos;Masculino;2022;5
Lleida;5.4.-Sustracción de vehículos;Masculino;2021;12
Lleida;5.4.-Sustracción de vehículos;Masculino;2020;8
Lleida;5.4.-Sustracción de vehículos;Masculino;2019;0
Lleida;5.4.-Sustracción de vehículos;Masculino;2018;0
Lleida;5.4.-Sustracción de vehículos;Femenino;2024;1
Lleida;5.4.-Sustracción de vehículos;Femenino;2023;1
Lleida;5.4.-Sustracción de vehículos;Femenino;2022;2
Lleida;5.4.-Sustracción de vehículos;Femenino;2021;1
Lleida;5.4.-Sustracción de vehículos;Femenino;2020;1
Lleida;5.4.-Sustracción de vehículos;Femenino;2019;0
Lleida;5.4.-Sustracción de vehículos;Femenino;2018;0
Lleida;5.4.-Sustracción de vehículos;Ambos sexos;2024;8
Lleida;5.4.-Sustracción de vehículos;Ambos sexos;2023;10
Lleida;5.4.-Sustracción de vehículos;Ambos sexos;2022;7
Lleida;5.4.-Sustracción de vehículos;Ambos sexos;2021;13
Lleida;5.4.-Sustracción de vehículos;Ambos sexos;2020;9
Lleida;5.4.-Sustracción de vehículos;Ambos sexos;2019;0
Lleida;5.4.-Sustracción de vehículos;Ambos sexos;2018;0
Lleida;5.5.-Estafas;Masculino;2024;98
Lleida;5.5.-Estafas;Masculino;2023;65
Lleida;5.5.-Estafas;Masculino;2022;95
Lleida;5.5.-Estafas;Masculino;2021;58
Lleida;5.5.-Estafas;Masculino;2020;52
Lleida;5.5.-Estafas;Masculino;2019;7
Lleida;5.5.-Estafas;Masculino;2018;5
Lleida;5.5.-Estafas;Femenino;2024;21
Lleida;5.5.-Estafas;Femenino;2023;17
Lleida;5.5.-Estafas;Femenino;2022;24
Lleida;5.5.-Estafas;Femenino;2021;18
Lleida;5.5.-Estafas;Femenino;2020;14
Lleida;5.5.-Estafas;Femenino;2019;4
Lleida;5.5.-Estafas;Femenino;2018;2
Lleida;5.5.-Estafas;Ambos sexos;2024;119
Lleida;5.5.-Estafas;Ambos sexos;2023;82
Lleida;5.5.-Estafas;Ambos sexos;2022;119
Lleida;5.5.-Estafas;Ambos sexos;2021;76
Lleida;5.5.-Estafas;Ambos sexos;2020;66
Lleida;5.5.-Estafas;Ambos sexos;2019;11
Lleida;5.5.-Estafas;Ambos sexos;2018;7
Lleida;5.5.1.-Estafas informáticas;Masculino;2024;18
Lleida;5.5.1.-Estafas informáticas;Masculino;2023;20
Lleida;5.5.1.-Estafas informáticas;Masculino;2022;25
Lleida;5.5.1.-Estafas informáticas;Masculino;2021;8
Lleida;5.5.1.-Estafas informáticas;Masculino;2020;5
Lleida;5.5.1.-Estafas informáticas;Masculino;2019;5
Lleida;5.5.1.-Estafas informáticas;Masculino;2018;2
Lleida;5.5.1.-Estafas informáticas;Femenino;2024;2
Lleida;5.5.1.-Estafas informáticas;Femenino;2023;2
Lleida;5.5.1.-Estafas informáticas;Femenino;2022;3
Lleida;5.5.1.-Estafas informáticas;Femenino;2021;4
Lleida;5.5.1.-Estafas informáticas;Femenino;2020;0
Lleida;5.5.1.-Estafas informáticas;Femenino;2019;3
Lleida;5.5.1.-Estafas informáticas;Femenino;2018;1
Lleida;5.5.1.-Estafas informáticas;Ambos sexos;2024;20
Lleida;5.5.1.-Estafas informáticas;Ambos sexos;2023;22
Lleida;5.5.1.-Estafas informáticas;Ambos sexos;2022;28
Lleida;5.5.1.-Estafas informáticas;Ambos sexos;2021;12
Lleida;5.5.1.-Estafas informáticas;Ambos sexos;2020;5
Lleida;5.5.1.-Estafas informáticas;Ambos sexos;2019;8
Lleida;5.5.1.-Estafas informáticas;Ambos sexos;2018;3
Lleida;5.6.-Daños;Masculino;2024;75
Lleida;5.6.-Daños;Masculino;2023;86
Lleida;5.6.-Daños;Masculino;2022;67
Lleida;5.6.-Daños;Masculino;2021;61
Lleida;5.6.-Daños;Masculino;2020;84
Lleida;5.6.-Daños;Masculino;2019;0
Lleida;5.6.-Daños;Masculino;2018;0
Lleida;5.6.-Daños;Femenino;2024;15
Lleida;5.6.-Daños;Femenino;2023;18
Lleida;5.6.-Daños;Femenino;2022;15
Lleida;5.6.-Daños;Femenino;2021;17
Lleida;5.6.-Daños;Femenino;2020;13
Lleida;5.6.-Daños;Femenino;2019;0
Lleida;5.6.-Daños;Femenino;2018;0
Lleida;5.6.-Daños;Ambos sexos;2024;90
Lleida;5.6.-Daños;Ambos sexos;2023;104
Lleida;5.6.-Daños;Ambos sexos;2022;82
Lleida;5.6.-Daños;Ambos sexos;2021;78
Lleida;5.6.-Daños;Ambos sexos;2020;97
Lleida;5.6.-Daños;Ambos sexos;2019;0
Lleida;5.6.-Daños;Ambos sexos;2018;0
Lleida;5.7.-Contra la propiedad intelectual/industrial;Masculino;2024;23
Lleida;5.7.-Contra la propiedad intelectual/industrial;Masculino;2023;5
Lleida;5.7.-Contra la propiedad intelectual/industrial;Masculino;2022;7
Lleida;5.7.-Contra la propiedad intelectual/industrial;Masculino;2021;8
Lleida;5.7.-Contra la propiedad intelectual/industrial;Masculino;2020;3
Lleida;5.7.-Contra la propiedad intelectual/industrial;Masculino;2019;2
Lleida;5.7.-Contra la propiedad intelectual/industrial;Masculino;2018;12
Lleida;5.7.-Contra la propiedad intelectual/industrial;Femenino;2024;0
Lleida;5.7.-Contra la propiedad intelectual/industrial;Femenino;2023;0
Lleida;5.7.-Contra la propiedad intelectual/industrial;Femenino;2022;0
Lleida;5.7.-Contra la propiedad intelectual/industrial;Femenino;2021;0
Lleida;5.7.-Contra la propiedad intelectual/industrial;Femenino;2020;0
Lleida;5.7.-Contra la propiedad intelectual/industrial;Femenino;2019;2
Lleida;5.7.-Contra la propiedad intelectual/industrial;Femenino;2018;6
Lleida;5.7.-Contra la propiedad intelectual/industrial;Ambos sexos;2024;23
Lleida;5.7.-Contra la propiedad intelectual/industrial;Ambos sexos;2023;5
Lleida;5.7.-Contra la propiedad intelectual/industrial;Ambos sexos;2022;7
Lleida;5.7.-Contra la propiedad intelectual/industrial;Ambos sexos;2021;8
Lleida;5.7.-Contra la propiedad intelectual/industrial;Ambos sexos;2020;3
Lleida;5.7.-Contra la propiedad intelectual/industrial;Ambos sexos;2019;4
Lleida;5.7.-Contra la propiedad intelectual/industrial;Ambos sexos;2018;18
Lleida;5.8.-Blanqueo de capitales;Masculino;2024;0
Lleida;5.8.-Blanqueo de capitales;Masculino;2023;0
Lleida;5.8.-Blanqueo de capitales;Masculino;2022;1
Lleida;5.8.-Blanqueo de capitales;Masculino;2021;0
Lleida;5.8.-Blanqueo de capitales;Masculino;2020;0
Lleida;5.8.-Blanqueo de capitales;Masculino;2019;0
Lleida;5.8.-Blanqueo de capitales;Masculino;2018;0
Lleida;5.8.-Blanqueo de capitales;Femenino;2024;0
Lleida;5.8.-Blanqueo de capitales;Femenino;2023;0
Lleida;5.8.-Blanqueo de capitales;Femenino;2022;0
Lleida;5.8.-Blanqueo de capitales;Femenino;2021;0
Lleida;5.8.-Blanqueo de capitales;Femenino;2020;0
Lleida;5.8.-Blanqueo de capitales;Femenino;2019;0
Lleida;5.8.-Blanqueo de capitales;Femenino;2018;0
Lleida;5.8.-Blanqueo de capitales;Ambos sexos;2024;0
Lleida;5.8.-Blanqueo de capitales;Ambos sexos;2023;0
Lleida;5.8.-Blanqueo de capitales;Ambos sexos;2022;1
Lleida;5.8.-Blanqueo de capitales;Ambos sexos;2021;0
Lleida;5.8.-Blanqueo de capitales;Ambos sexos;2020;0
Lleida;5.8.-Blanqueo de capitales;Ambos sexos;2019;0
Lleida;5.8.-Blanqueo de capitales;Ambos sexos;2018;0
Lleida;5.9.-Otros contra el patrimonio;Masculino;2024;142
Lleida;5.9.-Otros contra el patrimonio;Masculino;2023;120
Lleida;5.9.-Otros contra el patrimonio;Masculino;2022;145
Lleida;5.9.-Otros contra el patrimonio;Masculino;2021;148
Lleida;5.9.-Otros contra el patrimonio;Masculino;2020;178
Lleida;5.9.-Otros contra el patrimonio;Masculino;2019;0
Lleida;5.9.-Otros contra el patrimonio;Masculino;2018;0
Lleida;5.9.-Otros contra el patrimonio;Femenino;2024;47
Lleida;5.9.-Otros contra el patrimonio;Femenino;2023;45
Lleida;5.9.-Otros contra el patrimonio;Femenino;2022;43
Lleida;5.9.-Otros contra el patrimonio;Femenino;2021;50
Lleida;5.9.-Otros contra el patrimonio;Femenino;2020;52
Lleida;5.9.-Otros contra el patrimonio;Femenino;2019;1
Lleida;5.9.-Otros contra el patrimonio;Femenino;2018;0
Lleida;5.9.-Otros contra el patrimonio;Ambos sexos;2024;189
Lleida;5.9.-Otros contra el patrimonio;Ambos sexos;2023;165
Lleida;5.9.-Otros contra el patrimonio;Ambos sexos;2022;188
Lleida;5.9.-Otros contra el patrimonio;Ambos sexos;2021;198
Lleida;5.9.-Otros contra el patrimonio;Ambos sexos;2020;230
Lleida;5.9.-Otros contra el patrimonio;Ambos sexos;2019;1
Lleida;5.9.-Otros contra el patrimonio;Ambos sexos;2018;0
Lleida;6. SEGURIDAD COLECTIVA;Masculino;2024;312
Lleida;6. SEGURIDAD COLECTIVA;Masculino;2023;272
Lleida;6. SEGURIDAD COLECTIVA;Masculino;2022;267
Lleida;6. SEGURIDAD COLECTIVA;Masculino;2021;221
Lleida;6. SEGURIDAD COLECTIVA;Masculino;2020;160
Lleida;6. SEGURIDAD COLECTIVA;Masculino;2019;31
Lleida;6. SEGURIDAD COLECTIVA;Masculino;2018;10
Lleida;6. SEGURIDAD COLECTIVA;Femenino;2024;27
Lleida;6. SEGURIDAD COLECTIVA;Femenino;2023;16
Lleida;6. SEGURIDAD COLECTIVA;Femenino;2022;24
Lleida;6. SEGURIDAD COLECTIVA;Femenino;2021;16
Lleida;6. SEGURIDAD COLECTIVA;Femenino;2020;8
Lleida;6. SEGURIDAD COLECTIVA;Femenino;2019;1
Lleida;6. SEGURIDAD COLECTIVA;Femenino;2018;0
Lleida;6. SEGURIDAD COLECTIVA;Ambos sexos;2024;339
Lleida;6. SEGURIDAD COLECTIVA;Ambos sexos;2023;288
Lleida;6. SEGURIDAD COLECTIVA;Ambos sexos;2022;291
Lleida;6. SEGURIDAD COLECTIVA;Ambos sexos;2021;237
Lleida;6. SEGURIDAD COLECTIVA;Ambos sexos;2020;168
Lleida;6. SEGURIDAD COLECTIVA;Ambos sexos;2019;32
Lleida;6. SEGURIDAD COLECTIVA;Ambos sexos;2018;10
Lleida;6.1.-Tráfico de drogas;Masculino;2024;48
Lleida;6.1.-Tráfico de drogas;Masculino;2023;59
Lleida;6.1.-Tráfico de drogas;Masculino;2022;62
Lleida;6.1.-Tráfico de drogas;Masculino;2021;46
Lleida;6.1.-Tráfico de drogas;Masculino;2020;56
Lleida;6.1.-Tráfico de drogas;Masculino;2019;30
Lleida;6.1.-Tráfico de drogas;Masculino;2018;7
Lleida;6.1.-Tráfico de drogas;Femenino;2024;2
Lleida;6.1.-Tráfico de drogas;Femenino;2023;2
Lleida;6.1.-Tráfico de drogas;Femenino;2022;7
Lleida;6.1.-Tráfico de drogas;Femenino;2021;3
Lleida;6.1.-Tráfico de drogas;Femenino;2020;4
Lleida;6.1.-Tráfico de drogas;Femenino;2019;1
Lleida;6.1.-Tráfico de drogas;Femenino;2018;0
Lleida;6.1.-Tráfico de drogas;Ambos sexos;2024;50
Lleida;6.1.-Tráfico de drogas;Ambos sexos;2023;61
Lleida;6.1.-Tráfico de drogas;Ambos sexos;2022;69
Lleida;6.1.-Tráfico de drogas;Ambos sexos;2021;49
Lleida;6.1.-Tráfico de drogas;Ambos sexos;2020;60
Lleida;6.1.-Tráfico de drogas;Ambos sexos;2019;31
Lleida;6.1.-Tráfico de drogas;Ambos sexos;2018;7
Lleida;6.2.-Contra la seguridad vial;Masculino;2024;255
Lleida;6.2.-Contra la seguridad vial;Masculino;2023;213
Lleida;6.2.-Contra la seguridad vial;Masculino;2022;201
Lleida;6.2.-Contra la seguridad vial;Masculino;2021;170
Lleida;6.2.-Contra la seguridad vial;Masculino;2020;103
Lleida;6.2.-Contra la seguridad vial;Masculino;2019;1
Lleida;6.2.-Contra la seguridad vial;Masculino;2018;1
Lleida;6.2.-Contra la seguridad vial;Femenino;2024;24
Lleida;6.2.-Contra la seguridad vial;Femenino;2023;14
Lleida;6.2.-Contra la seguridad vial;Femenino;2022;17
Lleida;6.2.-Contra la seguridad vial;Femenino;2021;13
Lleida;6.2.-Contra la seguridad vial;Femenino;2020;4
Lleida;6.2.-Contra la seguridad vial;Femenino;2019;0
Lleida;6.2.-Contra la seguridad vial;Femenino;2018;0
Lleida;6.2.-Contra la seguridad vial;Ambos sexos;2024;279
Lleida;6.2.-Contra la seguridad vial;Ambos sexos;2023;227
Lleida;6.2.-Contra la seguridad vial;Ambos sexos;2022;218
Lleida;6.2.-Contra la seguridad vial;Ambos sexos;2021;183
Lleida;6.2.-Contra la seguridad vial;Ambos sexos;2020;107
Lleida;6.2.-Contra la seguridad vial;Ambos sexos;2019;1
Lleida;6.2.-Contra la seguridad vial;Ambos sexos;2018;1
Lleida;6.3.-Otros contra la seguridad colectiva;Masculino;2024;9
Lleida;6.3.-Otros contra la seguridad colectiva;Masculino;2023;0
Lleida;6.3.-Otros contra la seguridad colectiva;Masculino;2022;4
Lleida;6.3.-Otros contra la seguridad colectiva;Masculino;2021;5
Lleida;6.3.-Otros contra la seguridad colectiva;Masculino;2020;1
Lleida;6.3.-Otros contra la seguridad colectiva;Masculino;2019;0
Lleida;6.3.-Otros contra la seguridad colectiva;Masculino;2018;2
Lleida;6.3.-Otros contra la seguridad colectiva;Femenino;2024;1
Lleida;6.3.-Otros contra la seguridad colectiva;Femenino;2023;0
Lleida;6.3.-Otros contra la seguridad colectiva;Femenino;2022;0
Lleida;6.3.-Otros contra la seguridad colectiva;Femenino;2021;0
Lleida;6.3.-Otros contra la seguridad colectiva;Femenino;2020;0
Lleida;6.3.-Otros contra la seguridad colectiva;Femenino;2019;0
Lleida;6.3.-Otros contra la seguridad colectiva;Femenino;2018;0
Lleida;6.3.-Otros contra la seguridad colectiva;Ambos sexos;2024;10
Lleida;6.3.-Otros contra la seguridad colectiva;Ambos sexos;2023;0
Lleida;6.3.-Otros contra la seguridad colectiva;Ambos sexos;2022;4
Lleida;6.3.-Otros contra la seguridad colectiva;Ambos sexos;2021;5
Lleida;6.3.-Otros contra la seguridad colectiva;Ambos sexos;2020;1
Lleida;6.3.-Otros contra la seguridad colectiva;Ambos sexos;2019;0
Lleida;6.3.-Otros contra la seguridad colectiva;Ambos sexos;2018;2
Lleida;7. FALSEDADES;Masculino;2024;47
Lleida;7. FALSEDADES;Masculino;2023;52
Lleida;7. FALSEDADES;Masculino;2022;42
