Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2023;70.346
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2022;68.559
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2021;61.529
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2020;54.163
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2019;63.291
TOTAL NACIONAL;6. SEGURIDAD COLECTIVA;2018;59.223
TOTAL NACIONAL;6.1.-Tráfico de drogas;2024;19.362
TOTAL NACIONAL;6.1.-Tráfico de drogas;2023;18.947
TOTAL NACIONAL;6.1.-Tráfico de drogas;2022;16.629
TOTAL NACIONAL;6.1.-Tráfico de drogas;2021;15.631
TOTAL NACIONAL;6.1.-Tráfico de drogas;2020;14.717
TOTAL NACIONAL;6.1.-Tráfico de drogas;2019;15.191
TOTAL NACIONAL;6.1.-Tráfico de drogas;2018;13.140
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2024;49.542
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2023;49.678
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2022;50.252
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2021;44.553
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2020;38.210
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2019;46.622
TOTAL NACIONAL;6.2.-Contra la seguridad vial;2018;44.382
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2024;2.298
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2023;1.721
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2022;1.678
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2021;1.345
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2020;1.236
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2019;1.478
TOTAL NACIONAL;6.3.-Otros contra la seguridad colectiva;2018;1.701
TOTAL NACIONAL;7. FALSEDADES;2024;16.469
TOTAL NACIONAL;7. FALSEDADES;2023;15.783
TOTAL NACIONAL;7. FALSEDADES;2022;15.190
TOTAL NACIONAL;7. FALSEDADES;2021;14.417
TOTAL NACIONAL;7. FALSEDADES;2020;11.492
TOTAL NACIONAL;7. FALSEDADES;2019;14.629
TOTAL NACIONAL;7. FALSEDADES;2018;14.042
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2024;376
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2023;353
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2022;363
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2021;407
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2020;231
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2019;327
TOTAL NACIONAL;8. ADMÓN. PÚBLICA;2018;447
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2024;41.821
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2023;40.110
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2022;35.972
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2021;31.841
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2020;29.679
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2019;30.472
TOTAL NACIONAL;9. ADMÓN. JUSTICIA;2018;28.851
TOTAL NACIONAL;10. ORDEN PÚBLICO;2024;29.122
TOTAL NACIONAL;10. ORDEN PÚBLICO;2023;27.986
TOTAL NACIONAL;10. ORDEN PÚBLICO;2022;26.520
TOTAL NACIONAL;10. ORDEN PÚBLICO;2021;25.517
TOTAL NACIONAL;10. ORDEN PÚBLICO;2020;28.039
TOTAL NACIONAL;10. ORDEN PÚBLICO;2019;20.350
TOTAL NACIONAL;10. ORDEN PÚBLICO;2018;18.781
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2024;396
