Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2023;392
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2022;287
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2021;289
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2020;270
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2019;259
TOTAL NACIONAL;11. LEGISLACIÓN ESPECIAL;2018;193
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2024;8.291
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2023;8.178
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2022;7.283
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2021;7.117
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2020;6.686
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2019;7.058
TOTAL NACIONAL;12. OTRAS INFRACCIONES PENALES;2018;6.776
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2024;888.405
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2023;845.845
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2022;771.302
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2021;685.383
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2020;616.665
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2019;702.544
TOTAL NACIONAL;TOTAL INFRACCIONES PENALES;2018;673.594
ANDALUCÍA;1. CONTRA LAS PERSONAS;2024;42.254
ANDALUCÍA;1. CONTRA LAS PERSONAS;2023;40.910
ANDALUCÍA;1. CONTRA LAS PERSONAS;2022;38.080
ANDALUCÍA;1. CONTRA LAS PERSONAS;2021;33.685
ANDALUCÍA;1. CONTRA LAS PERSONAS;2020;30.706
ANDALUCÍA;1. CONTRA LAS PERSONAS;2019;33.503
ANDALUCÍA;1. CONTRA LAS PERSONAS;2018;31.872
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2024;326
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2023;337
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2022;329
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2021;264
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2020;297
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2019;225
ANDALUCÍA;1.1.-Homicidios dolosos/asesinatos;2018;244
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2024;83
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;61
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;74
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;50
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;67
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;75
ANDALUCÍA;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;67
ANDALUCÍA;1.2.-Lesiones;2024;21.134
ANDALUCÍA;1.2.-Lesiones;2023;20.241
ANDALUCÍA;1.2.-Lesiones;2022;18.851
ANDALUCÍA;1.2.-Lesiones;2021;16.477
ANDALUCÍA;1.2.-Lesiones;2020;14.592
ANDALUCÍA;1.2.-Lesiones;2019;17.105
ANDALUCÍA;1.2.-Lesiones;2018;16.429
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2024;19.698
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2023;19.378
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2022;18.153
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2021;16.350
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2020;15.269
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2019;15.524
ANDALUCÍA;1.3.-Malos tratos ámbito familiar;2018;14.542
ANDALUCÍA;1.4.-Otros contra las personas;2024;1.096
ANDALUCÍA;1.4.-Otros contra las personas;2023;954
ANDALUCÍA;1.4.-Otros contra las personas;2022;747
ANDALUCÍA;1.4.-Otros contra las personas;2021;594
ANDALUCÍA;1.4.-Otros contra las personas;2020;548
ANDALUCÍA;1.4.-Otros contra las personas;2019;649
ANDALUCÍA;1.4.-Otros contra las personas;2018;657
ANDALUCÍA;2. CONTRA LA LIBERTAD;2024;27.726
ANDALUCÍA;2. CONTRA LA LIBERTAD;2023;26.310
ANDALUCÍA;2. CONTRA LA LIBERTAD;2022;22.674
ANDALUCÍA;2. CONTRA LA LIBERTAD;2021;21.927
ANDALUCÍA;2. CONTRA LA LIBERTAD;2020;21.092
ANDALUCÍA;2. CONTRA LA LIBERTAD;2019;21.205
ANDALUCÍA;2. CONTRA LA LIBERTAD;2018;20.209
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2024;2.933
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2023;3.008
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2022;2.850
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2021;2.816
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2020;2.724
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2019;2.758
ANDALUCÍA;2.1.-Malos tratos habituales en el ámbito familiar;2018;2.681
ANDALUCÍA;2.2.-Otros contra la libertad;2024;24.793
ANDALUCÍA;2.2.-Otros contra la libertad;2023;23.302
ANDALUCÍA;2.2.-Otros contra la libertad;2022;19.824
ANDALUCÍA;2.2.-Otros contra la libertad;2021;19.111
ANDALUCÍA;2.2.-Otros contra la libertad;2020;18.368
ANDALUCÍA;2.2.-Otros contra la libertad;2019;18.447
ANDALUCÍA;2.2.-Otros contra la libertad;2018;17.528
ANDALUCÍA;3. LIBERTAD SEXUAL;2024;2.959
ANDALUCÍA;3. LIBERTAD SEXUAL;2023;2.890
ANDALUCÍA;3. LIBERTAD SEXUAL;2022;2.457
ANDALUCÍA;3. LIBERTAD SEXUAL;2021;2.202
ANDALUCÍA;3. LIBERTAD SEXUAL;2020;1.824
ANDALUCÍA;3. LIBERTAD SEXUAL;2019;2.068
ANDALUCÍA;3. LIBERTAD SEXUAL;2018;1.909
ANDALUCÍA;3.1.-Agresión sexual;2024;1.877
ANDALUCÍA;3.1.-Agresión sexual;2023;1.713
ANDALUCÍA;3.1.-Agresión sexual;2022;1.589
ANDALUCÍA;3.1.-Agresión sexual;2021;1.386
ANDALUCÍA;3.1.-Agresión sexual;2020;1.083
ANDALUCÍA;3.1.-Agresión sexual;2019;1.244
ANDALUCÍA;3.1.-Agresión sexual;2018;1.181
ANDALUCÍA;3.2.-Agresión sexual con penetración;2024;557
ANDALUCÍA;3.2.-Agresión sexual con penetración;2023;537
ANDALUCÍA;3.2.-Agresión sexual con penetración;2022;439
ANDALUCÍA;3.2.-Agresión sexual con penetración;2021;394
ANDALUCÍA;3.2.-Agresión sexual con penetración;2020;332
