Provincias;Tipología penal;periodo;Total
Araba/Álava;1. CONTRA LAS PERSONAS;2024;1.523
Araba/Álava;1. CONTRA LAS PERSONAS;2023;1.386
Araba/Álava;1. CONTRA LAS PERSONAS;2022;1.269
Araba/Álava;1. CONTRA LAS PERSONAS;2021;1.027
Araba/Álava;1. CONTRA LAS PERSONAS;2020;904
Araba/Álava;1. CONTRA LAS PERSONAS;2019;927
Araba/Álava;1. CONTRA LAS PERSONAS;2018;876
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2024;7
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2023;7
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2022;3
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2021;3
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2020;3
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2019;3
Araba/Álava;1.1.-Homicidios dolosos/asesinatos;2018;8
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2024;1
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;1
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;0
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;2
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;1
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;1
Araba/Álava;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;2
Araba/Álava;1.2.-Lesiones;2024;800
Araba/Álava;1.2.-Lesiones;2023;745
Araba/Álava;1.2.-Lesiones;2022;711
Araba/Álava;1.2.-Lesiones;2021;587
Araba/Álava;1.2.-Lesiones;2020;491
Araba/Álava;1.2.-Lesiones;2019;600
Araba/Álava;1.2.-Lesiones;2018;589
Araba/Álava;1.3.-Malos tratos ámbito familiar;2024;635
Araba/Álava;1.3.-Malos tratos ámbito familiar;2023;570
Araba/Álava;1.3.-Malos tratos ámbito familiar;2022;469
Araba/Álava;1.3.-Malos tratos ámbito familiar;2021;384
Araba/Álava;1.3.-Malos tratos ámbito familiar;2020;376
Araba/Álava;1.3.-Malos tratos ámbito familiar;2019;286
Araba/Álava;1.3.-Malos tratos ámbito familiar;2018;239
Araba/Álava;1.4.-Otros contra las personas;2024;81
Araba/Álava;1.4.-Otros contra las personas;2023;64
Araba/Álava;1.4.-Otros contra las personas;2022;86
Araba/Álava;1.4.-Otros contra las personas;2021;53
Araba/Álava;1.4.-Otros contra las personas;2020;34
Araba/Álava;1.4.-Otros contra las personas;2019;38
Araba/Álava;1.4.-Otros contra las personas;2018;40
Araba/Álava;2. CONTRA LA LIBERTAD;2024;1.416
Araba/Álava;2. CONTRA LA LIBERTAD;2023;1.343
Araba/Álava;2. CONTRA LA LIBERTAD;2022;1.121
Araba/Álava;2. CONTRA LA LIBERTAD;2021;1.115
Araba/Álava;2. CONTRA LA LIBERTAD;2020;1.071
