Provincias;Tipología penal;periodo;Total
Araba/Álava;3.4.-Pornografía de menores;2022;3
Araba/Álava;3.4.-Pornografía de menores;2021;4
Araba/Álava;3.4.-Pornografía de menores;2020;4
Araba/Álava;3.4.-Pornografía de menores;2019;3
Araba/Álava;3.4.-Pornografía de menores;2018;6
Araba/Álava;3.5.-Otros contra la libertad sexual;2024;18
Araba/Álava;3.5.-Otros contra la libertad sexual;2023;15
Araba/Álava;3.5.-Otros contra la libertad sexual;2022;17
Araba/Álava;3.5.-Otros contra la libertad sexual;2021;6
Araba/Álava;3.5.-Otros contra la libertad sexual;2020;12
Araba/Álava;3.5.-Otros contra la libertad sexual;2019;16
Araba/Álava;3.5.-Otros contra la libertad sexual;2018;25
Araba/Álava;4. RELACIONES FAMILIARES;2024;27
Araba/Álava;4. RELACIONES FAMILIARES;2023;33
Araba/Álava;4. RELACIONES FAMILIARES;2022;24
Araba/Álava;4. RELACIONES FAMILIARES;2021;23
Araba/Álava;4. RELACIONES FAMILIARES;2020;16
Araba/Álava;4. RELACIONES FAMILIARES;2019;25
Araba/Álava;4. RELACIONES FAMILIARES;2018;28
Araba/Álava;5. PATRIMONIO;2024;11.506
Araba/Álava;5. PATRIMONIO;2023;11.387
Araba/Álava;5. PATRIMONIO;2022;10.282
Araba/Álava;5. PATRIMONIO;2021;8.032
Araba/Álava;5. PATRIMONIO;2020;7.544
Araba/Álava;5. PATRIMONIO;2019;9.980
Araba/Álava;5. PATRIMONIO;2018;9.693
Araba/Álava;5.1.-Hurtos;2024;4.299
Araba/Álava;5.1.-Hurtos;2023;4.184
Araba/Álava;5.1.-Hurtos;2022;3.850
Araba/Álava;5.1.-Hurtos;2021;2.918
Araba/Álava;5.1.-Hurtos;2020;2.410
Araba/Álava;5.1.-Hurtos;2019;4.036
Araba/Álava;5.1.-Hurtos;2018;4.314
Araba/Álava;5.2.-Robos con fuerza en las cosas;2024;1.178
Araba/Álava;5.2.-Robos con fuerza en las cosas;2023;1.099
Araba/Álava;5.2.-Robos con fuerza en las cosas;2022;1.260
Araba/Álava;5.2.-Robos con fuerza en las cosas;2021;892
Araba/Álava;5.2.-Robos con fuerza en las cosas;2020;755
Araba/Álava;5.2.-Robos con fuerza en las cosas;2019;1.367
Araba/Álava;5.2.-Robos con fuerza en las cosas;2018;1.198
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2024;17
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;8
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;5
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;4
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;6
Araba/Álava;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;9
